step,slot,copy_start_ms,copy_end_ms,compute_start_ms,compute_end_ms,buffer_reuse_wait_ms,data_ready_wait_ms
0,0,0.02316799946129322,2.2692480087280273,2.301568031311035,2.632159948348999,0.003648000070825219,2.17411208152771
1,1,2.2706239223480225,4.51804780960083,4.5412797927856445,4.872608184814453,0.0004799999878741801,1.8826559782028198
2,0,4.519455909729004,6.761439800262451,6.782688140869141,7.114048004150391,0.00044800000614486635,1.8837440013885498
3,1,6.762847900390625,9.004768371582031,9.014399528503418,9.308287620544434,0.00044800000614486635,1.8863359689712524
