step,slot,copy_start_ms,copy_end_ms,compute_start_ms,compute_end_ms,buffer_reuse_wait_ms,data_ready_wait_ms
0,0,0.023520000278949738,2.2649600505828857,2.2910399436950684,2.5104639530181885,0.004000000189989805,2.1640000343322754
1,1,2.2663679122924805,4.512063980102539,4.539743900299072,4.761472225189209,0.0004799999878741801,2.0029120445251465
2,0,4.513472080230713,6.753471851348877,6.778592109680176,6.998847961425781,0.00044800000614486635,1.9908479452133179
3,1,6.754879951477051,8.997440338134766,9.001055717468262,9.210399627685547,0.0004799999878741801,1.9881279468536377
