copy_ms,compute_ms,cuda_ms,wall_ms,copy_start_ms,compute_start_ms,kind,group,q,past,batch,semantic,mode,sample
1.1216000318527222,0.08380799740552902,1.2264000177383423,1.2365160509943962,0.01228800043463707,1.1399680376052856,measured,1,16,0,1,short_prefill_proxy,serial,0
1.1224960088729858,0.08383999764919281,1.2263679504394531,1.2364457361400127,0.011839999817311764,1.1399040222167969,measured,1,16,0,1,short_prefill_proxy,serial,1
1.1209280490875244,0.0838719978928566,1.2254400253295898,1.2352443300187588,0.011839999817311764,1.1389440298080444,measured,1,16,0,1,short_prefill_proxy,serial,2
1.1217600107192993,0.08780799806118011,1.229856014251709,1.2396397069096565,0.01206399966031313,1.1394239664077759,measured,1,16,0,1,short_prefill_proxy,serial,3
1.1221760511398315,0.08793599903583527,1.230847954750061,1.2409756891429424,0.011615999974310398,1.1402239799499512,measured,1,16,0,1,short_prefill_proxy,serial,4
1.137727975845337,0.0838719978928566,1.2414400577545166,1.2516477145254612,0.011327999643981457,1.1549439430236816,measured,1,16,0,1,short_prefill_proxy,serial,5
1.1210559606552124,0.08591999858617783,1.2272319793701172,1.2367540039122105,0.01152000017464161,1.1386879682540894,measured,1,16,0,1,short_prefill_proxy,serial,6
1.1227840185165405,0.08367999643087387,1.226207971572876,1.235775649547577,0.011264000087976456,1.1398719549179077,measured,1,16,0,1,short_prefill_proxy,serial,7
1.1211520433425903,0.08588799834251404,1.2274240255355835,1.2402287684381008,0.01158399973064661,1.1389119625091553,measured,1,16,0,1,short_prefill_proxy,serial,8
1.130560040473938,0.08604799956083298,1.2360639572143555,1.2460509315133095,0.011680000461637974,1.1473599672317505,measured,1,16,0,1,short_prefill_proxy,serial,9
1.1259839534759521,0.08588799834251404,1.2328640222549438,1.2426888570189476,0.01190400030463934,1.144320011138916,measured,1,16,0,1,short_prefill_proxy,serial,10
1.1446080207824707,0.08588799834251404,1.251423954963684,1.2654569000005722,0.012160000391304493,1.1629120111465454,measured,1,16,0,1,short_prefill_proxy,serial,11
1.1466560363769531,0.08591999858617783,1.2729920148849487,1.2853420339524746,0.03206399828195572,1.184448003768921,measured,1,16,0,1,short_prefill_proxy,serial,12
1.1222079992294312,0.08383999764919281,1.225343942642212,1.2355595827102661,0.011711999773979187,1.1388800144195557,measured,1,16,0,1,short_prefill_proxy,serial,13
1.1216959953308105,0.08588799834251404,1.2284480333328247,1.2386338785290718,0.011839999817311764,1.1399359703063965,measured,1,16,0,1,short_prefill_proxy,serial,14
1.1211199760437012,0.08595199882984161,1.2266559600830078,1.2361281551420689,0.011327999643981457,1.1380800008773804,measured,1,16,0,1,short_prefill_proxy,serial,15
1.1196800470352173,0.08390399813652039,1.2238719463348389,1.233783084899187,0.01142400037497282,1.1373440027236938,measured,1,16,0,1,short_prefill_proxy,serial,16
1.1258879899978638,0.08374399691820145,1.2279679775238037,1.2378012761473656,0.010784000158309937,1.1416000127792358,measured,1,16,0,1,short_prefill_proxy,serial,17
1.1214720010757446,0.08396799862384796,1.22598397731781,1.2358129024505615,0.011296000331640244,1.1393920183181763,measured,1,16,0,1,short_prefill_proxy,serial,18
1.119968056678772,0.08399999886751175,1.2242560386657715,1.2334990315139294,0.01119999960064888,1.1376320123672485,measured,1,16,0,1,short_prefill_proxy,serial,19
1.1204479932785034,0.08380799740552902,1.2238719463348389,1.2334310449659824,0.010944000445306301,1.1374399662017822,measured,1,16,0,1,short_prefill_proxy,serial,20
1.1199040412902832,0.08575999736785889,1.2255680561065674,1.235287170857191,0.011103999800980091,1.1371840238571167,measured,1,16,0,1,short_prefill_proxy,serial,21
1.1205120086669922,0.08601599931716919,1.225216031074524,1.2350291945040226,0.011296000331640244,1.1365760564804077,measured,1,16,0,1,short_prefill_proxy,serial,22
1.1202880144119263,0.08399999886751175,1.2230720520019531,1.2325579300522804,0.011168000288307667,1.1364480257034302,measured,1,16,0,1,short_prefill_proxy,serial,23
1.1216959953308105,0.08377599716186523,1.2245440483093262,1.2342887930572033,0.011264000087976456,1.1381440162658691,measured,1,16,0,1,short_prefill_proxy,serial,24
1.1218880414962769,0.0838719978928566,1.2256959676742554,1.2352396734058857,0.011359999887645245,1.1391680240631104,measured,1,16,0,1,short_prefill_proxy,serial,25
1.12009596824646,0.08585599809885025,1.2257599830627441,1.235051080584526,0.01152000017464161,1.137279987335205,measured,1,16,0,1,short_prefill_proxy,serial,26
1.1216000318527222,0.08601599931716919,1.227552056312561,1.237237360328436,0.010975999757647514,1.1389119625091553,measured,1,16,0,1,short_prefill_proxy,serial,27
1.1223679780960083,0.08374399691820145,1.2255040407180786,1.2351921759545803,0.011327999643981457,1.1391040086746216,measured,1,16,0,1,short_prefill_proxy,serial,28
1.1202880144119263,0.08601599931716919,1.2268160581588745,1.2364508584141731,0.011327999643981457,1.1381440162658691,measured,1,16,0,1,short_prefill_proxy,serial,29
1.1192320585250854,0.0838719978928566,1.2232639789581299,1.2330040335655212,0.011455999687314034,1.1367039680480957,measured,1,16,0,1,short_prefill_proxy,serial,30
1.1223039627075195,0.08579199761152267,1.22816002368927,1.2375223450362682,0.011231999844312668,1.1397440433502197,measured,1,16,0,1,short_prefill_proxy,serial,31
1.136512041091919,0.08377599716186523,1.2400000095367432,1.248867716640234,0.012160000391304493,1.1535999774932861,measured,1,16,0,1,short_prefill_proxy,serial,32
1.1583360433578491,0.08390399813652039,1.2619839906692505,1.2716809287667274,0.011455999687314034,1.1754560470581055,measured,1,16,0,1,short_prefill_proxy,serial,33
1.1232320070266724,0.08591999858617783,1.2280960083007812,1.2381263077259064,0.011487999930977821,1.1395200490951538,measured,1,16,0,1,short_prefill_proxy,serial,34
1.1219199895858765,0.08377599716186523,1.225343942642212,1.234833151102066,0.011648000217974186,1.1389440298080444,measured,1,16,0,1,short_prefill_proxy,serial,35
1.1216959953308105,0.08588799834251404,1.227903962135315,1.2375470250844955,0.011136000044643879,1.1393920183181763,measured,1,16,0,1,short_prefill_proxy,serial,36
1.1199359893798828,0.08588799834251404,1.225600004196167,1.2340378016233444,0.01190400030463934,1.1370879411697388,measured,1,16,0,1,short_prefill_proxy,serial,37
1.120479941368103,0.08390399813652039,1.2247999906539917,1.234377734363079,0.011744000017642975,1.1382720470428467,measured,1,16,0,1,short_prefill_proxy,serial,38
1.1210880279541016,0.08579199761152267,1.2262400388717651,1.235715113580227,0.011487999930977821,1.1378240585327148,measured,1,16,0,1,short_prefill_proxy,serial,39
1.1207040548324585,0.08588799834251404,1.2268160581588745,1.2365677393972874,0.011296000331640244,1.1382720470428467,measured,1,16,0,1,short_prefill_proxy,serial,40
1.1217279434204102,0.0838719978928566,1.2247999906539917,1.2341132387518883,0.011071999557316303,1.1383039951324463,measured,1,16,0,1,short_prefill_proxy,serial,41
1.1211520433425903,0.08403199911117554,1.2250880002975464,1.2348191812634468,0.010879999957978725,1.1384320259094238,measured,1,16,0,1,short_prefill_proxy,serial,42
1.1196160316467285,0.08182399719953537,1.2211519479751587,1.2305350974202156,0.011168000288307667,1.1367039680480957,measured,1,16,0,1,short_prefill_proxy,serial,43
1.1198079586029053,0.08591999858617783,1.224992036819458,1.234640832990408,0.01152000017464161,1.1363199949264526,measured,1,16,0,1,short_prefill_proxy,serial,44
1.1215039491653442,0.08399999886751175,1.2251520156860352,1.2344946153461933,0.010879999957978725,1.1384960412979126,measured,1,16,0,1,short_prefill_proxy,serial,45
1.1193280220031738,0.0838719978928566,1.2223999500274658,1.2326021678745747,0.011231999844312668,1.1359039545059204,measured,1,16,0,1,short_prefill_proxy,serial,46
1.1201599836349487,0.0838719978928566,1.2246079444885254,1.2344419956207275,0.012191999703645706,1.13811194896698,measured,1,16,0,1,short_prefill_proxy,serial,47
1.120959997177124,0.08607999980449677,1.2260799407958984,1.2355749495327473,0.011552000418305397,1.1373759508132935,measured,1,16,0,1,short_prefill_proxy,serial,48
1.1224960088729858,0.08585599809885025,1.2290879487991333,1.238497905433178,0.01158399973064661,1.1406079530715942,measured,1,16,0,1,short_prefill_proxy,serial,49
1.1209919452667236,0.08591999858617783,1.2270079851150513,1.2367228046059608,0.011935999616980553,1.1384639739990234,measured,1,16,0,1,short_prefill_proxy,serial,50
1.1212799549102783,0.08585599809885025,1.22707200050354,1.2363898567855358,0.011392000131309032,1.138592004776001,measured,1,16,0,1,short_prefill_proxy,serial,51
1.1211520433425903,0.08396799862384796,1.2241599559783936,1.2336638756096363,0.011136000044643879,1.1374720335006714,measured,1,16,0,1,short_prefill_proxy,serial,52
1.1216000318527222,0.08604799956083298,1.226688027381897,1.2354739010334015,0.010975999757647514,1.137984037399292,measured,1,16,0,1,short_prefill_proxy,serial,53
1.120576024055481,0.08191999793052673,1.2206079959869385,1.2306063435971737,0.010751999914646149,1.136064052581787,measured,1,16,0,1,short_prefill_proxy,serial,54
1.1210559606552124,0.0817599967122078,1.2231680154800415,1.232832670211792,0.01119999960064888,1.1387840509414673,measured,1,16,0,1,short_prefill_proxy,serial,55
1.1211199760437012,0.07782399654388428,1.2186559438705444,1.2281541712582111,0.010816000401973724,1.138208031654358,measured,1,16,0,1,short_prefill_proxy,serial,56
1.1207679510116577,0.08179199695587158,1.221951961517334,1.2312652543187141,0.011296000331640244,1.1375360488891602,measured,1,16,0,1,short_prefill_proxy,serial,57
1.1218880414962769,0.08179199695587158,1.2236160039901733,1.2332559563219547,0.01152000017464161,1.13919997215271,measured,1,16,0,1,short_prefill_proxy,serial,58
1.1213120222091675,0.08588799834251404,1.2270079851150513,1.23643409460783,0.01152000017464161,1.1384960412979126,measured,1,16,0,1,short_prefill_proxy,serial,59
1.119968056678772,0.08188799768686295,1.2224960327148438,1.2326110154390335,0.011552000418305397,1.137984037399292,measured,1,16,0,1,short_prefill_proxy,serial,60
1.1191359758377075,0.08390399813652039,1.2232320308685303,1.2326077558100224,0.011327999643981457,1.1367039680480957,measured,1,16,0,1,short_prefill_proxy,serial,61
1.1226880550384521,0.08601599931716919,1.2281279563903809,1.237922813743353,0.011455999687314034,1.139456033706665,measured,1,16,0,1,short_prefill_proxy,serial,62
1.119968056678772,0.08396799862384796,1.224287986755371,1.2337369844317436,0.011296000331640244,1.1376960277557373,measured,1,16,0,1,short_prefill_proxy,serial,63
1.1211520433425903,0.08179199695587158,1.2230720520019531,1.2325928546488285,0.010944000445306301,1.1386560201644897,measured,1,16,0,1,short_prefill_proxy,serial,64
