kind,layer,token,micro,start_ms,end_ms,duration_ms
weight_load,0,0,0,0.8413439989089966,7.126431941986084,6.285087943077087
compute,0,0,0,7.143072128295898,7.285952091217041,0.14287996292114258
weight_load,1,0,0,7.296895980834961,7.695104122161865,0.3982081413269043
compute,1,0,0,7.695712089538574,7.7751359939575195,0.07942390441894531
weight_load,2,0,0,7.780799865722656,8.52774429321289,0.7469444274902344
compute,2,0,0,8.5283203125,8.599455833435059,0.0711355209350586
weight_load,3,0,0,8.599935531616211,8.981087684631348,0.3811521530151367
compute,3,0,0,8.981696128845215,9.057727813720703,0.07603168487548828
weight_load,4,0,0,9.063872337341309,9.809247970581055,0.7453756332397461
compute,4,0,0,9.809856414794922,9.877280235290527,0.06742382049560547
weight_load,5,0,0,9.87775993347168,10.259136199951172,0.3813762664794922
compute,5,0,0,10.259743690490723,10.332608222961426,0.07286453247070312
weight_load,6,0,0,10.338751792907715,11.085151672363281,0.7463998794555664
compute,6,0,0,11.085760116577148,11.162400245666504,0.07664012908935547
weight_load,7,0,0,11.162943840026855,11.546208381652832,0.38326454162597656
compute,7,0,0,11.546784400939941,11.626943588256836,0.08015918731689453
weight_load,8,0,0,11.633088111877441,12.377728462219238,0.7446403503417969
compute,8,0,0,12.378335952758789,12.448543548583984,0.07020759582519531
weight_load,9,0,0,12.449024200439453,12.833184242248535,0.38416004180908203
compute,9,0,0,12.833791732788086,12.913087844848633,0.07929611206054688
weight_load,10,0,0,12.919232368469238,13.661919593811035,0.7426872253417969
compute,10,0,0,13.662528038024902,13.736736297607422,0.07420825958251953
weight_load,11,0,0,13.737215995788574,14.1146240234375,0.3774080276489258
compute,11,0,0,14.115232467651367,14.18899154663086,0.07375907897949219
weight_load,12,0,0,14.195136070251465,14.93830394744873,0.7431678771972656
compute,12,0,0,14.938912391662598,15.014687538146973,0.075775146484375
weight_load,13,0,0,15.015135765075684,15.393440246582031,0.37830448150634766
compute,13,0,0,15.39401626586914,15.466943740844727,0.07292747497558594
