node,model,dtype,blocks,first_layer,batch,query_len,past_len,semantic,weight_bytes,pinned_weight_live_bytes,two_weight_slots_bytes,h2d_cuda_p50_ms,h2d_wall_p50_ms,compute_cuda_p50_ms,compute_wall_p50_ms,h2d_GBps,copy_slowdown,compute_slowdown,overlap_speedup,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,rss_sampled_peak_bytes
A,facebook/opt-125m,float16,1,0,1,1,32,decode_real_history,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.12227199971675873,0.13130810111761093,12.672483654562626,1.0046056469421756,1.0985344039115061,1.080349884238081,56059392,163577856,2270846976
A,facebook/opt-125m,float16,1,0,4,1,32,decode_real_history,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.12572799623012543,0.13480288907885551,12.672483654562626,1.0046343136788929,1.0027997752404958,1.0606273691184276,57391104,163577856,2270846976
A,facebook/opt-125m,float16,1,0,1,1,256,decode_real_history,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.12118399888277054,0.13025477528572083,12.672483654562626,1.004348179150693,1.1584367970544924,1.081678933292582,95130624,186646528,2270846976
A,facebook/opt-125m,float16,1,0,4,1,256,decode_real_history,14175744,14175744,28351488,1.118623971939087,1.1263908818364143,0.12515200674533844,0.1342729665338993,12.672483654562626,1.0050204620822196,1.0311940657300338,1.065316749973855,83871744,186646528,2270846976
A,facebook/opt-125m,float16,2,0,1,16,0,short_prefill_proxy,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.24806399643421173,0.2574860118329525,12.675747251212787,1.0053007680613375,1.0248968405854333,1.0748951695123066,103161856,171966464,2270846976
A,facebook/opt-125m,float16,2,0,4,16,0,short_prefill_proxy,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.27798399329185486,0.2873251214623451,12.675747251212787,1.00634518821628,1.0330378838275032,1.0948604798276174,104118784,174063616,2270846976
A,facebook/opt-125m,float16,2,0,1,32,0,short_prefill_proxy,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.2540160119533539,0.2635361161082983,12.675747251212787,1.0054581026345866,1.0045980676876016,1.076786217622588,103479808,174063616,2270846976
A,facebook/opt-125m,float16,2,0,4,32,0,short_prefill_proxy,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.34003201127052307,0.3496878780424595,12.675747251212787,1.0064882390274592,1.0710520833324204,1.1350883743897762,105396736,174063616,2270846976
A,facebook/opt-125m,float16,2,0,1,64,0,short_prefill_proxy,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.2553119957447052,0.26468909345567226,12.675747251212787,1.005801499198084,1.0409225142173044,1.0885562900886243,104118784,174063616,2270846976
A,facebook/opt-125m,float16,2,0,4,64,0,short_prefill_proxy,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.38596799969673157,0.3955874126404524,12.675747251212787,1.007918960329729,1.086100411113111,1.1659506031064883,107952640,176160768,2270846976
A,facebook/opt-125m,float16,2,0,1,128,0,short_prefill_proxy,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.3083840012550354,0.31789904460310936,12.675747251212787,1.0060232705935073,1.0900694843756795,1.1186886666254288,173471232,270532608,2270846976
A,facebook/opt-125m,float16,2,0,4,128,0,short_prefill_proxy,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.7325760126113892,0.7426431402564049,12.675747251212787,1.007926102210764,1.041672138334169,1.3196966205256848,121667072,276824064,2270846976
A,facebook/opt-125m,float16,2,0,1,256,0,short_prefill_proxy,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.38915199041366577,0.3986796364188194,12.675747251212787,1.0080834900816327,1.0971959692364104,1.1802762841935384,117391872,276824064,2270846976
A,facebook/opt-125m,float16,2,0,4,256,0,short_prefill_proxy,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,1.2009599804878235,1.2108099181205034,12.675747251212787,1.0085484585155846,1.0153343889811608,1.5211438550305865,137381376,297795584,2270846976
A,facebook/opt-125m,float16,2,0,1,1,32,decode_real_history,28351488,28351488,56702976,2.2366719245910645,2.2444440983235836,0.23161600530147552,0.24109706282615662,12.675747251212787,1.0041633435600805,1.074260814191822,1.0806726200748469,112004608,297795584,2270846976
