run,direction,case,model,batch,q,hidden,mode,bytes,n,correct,sender_setup_ms,receiver_setup_ms,first_transfer_e2e_ms,sender_background_alone_cuda_p50_ms,receiver_background_alone_cuda_p50_ms,e2e_ack_ms_p50,e2e_ack_ms_p95,d2h_cuda_ms_p50,d2h_cuda_ms_p95,d2h_host_ms_p50,d2h_host_ms_p95,h2d_cuda_ms_p50,h2d_cuda_ms_p95,h2d_host_ms_p50,h2d_host_ms_p95,network_host_ack_residual_ms_p50,network_host_ack_residual_ms_p95,sender_background_jobs,receiver_background_jobs,sender_background_slowdown,receiver_background_slowdown,samples_with_d2h_gpu_overlap,samples_with_h2d_gpu_overlap,e2e_slowdown_vs_gpu,d2h_slowdown_vs_gpu,h2d_slowdown_vs_gpu
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,0,opt-125m,1,1,768,cpu,1536,3,True,1.66703200340271,6.01883602142334,0.37523698806762695,,,0.18535590171813965,0.21850199699401854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18535590171813965,0.21850199699401854,0,0,,,0,0,,,
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,1,opt-125m,1,1,768,gpu,1536,3,True,0.3815019130706787,0.2675743103027344,0.5918738842010498,,,0.2849299907684326,0.5566751003265381,0.03516799956560135,0.056134398281574245,0.08115506172180176,0.14377155303955078,0.007327999919652939,0.008105599973350763,0.02296590805053711,0.024109601974487305,0.18106985092163086,0.3888200283050537,0,0,,,0,0,1.0,1.0,1.0
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,2,opt-125m,1,1,768,gpu_h2d,1536,3,True,147.79657411575317,157.55007696151733,1.3157320022583008,0.6013279855251312,1.1207039952278137,1.3297688961029053,1.3323006868362426,0.13808000087738037,0.14372480362653733,0.16719937324523926,0.17247774600982665,0.0014400000218302011,0.0014400000218302011,0.8103804588317871,0.8417957782745361,0.34632420539855957,0.42946131229400636,6,6,1.0373839427524676,1.0095226151406107,2,0,4.667002208214827,3.926296706749271,0.1965065553519276
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,3,opt-125m,1,1,768,gpu_compute,1536,3,True,15.878677129745483,16.280339241027832,0.6538991928100586,0.12040000036358833,0.12104000151157379,0.2447199821472168,0.2549737453460693,0.03798399865627289,0.0380127988755703,0.05835294723510742,0.06110424995422363,0.011839999817311764,0.014028799720108509,0.03461790084838867,0.035686492919921875,0.1517491340637207,0.15818300247192382,5,5,1.188305595958419,1.2563119109446343,2,3,0.8588775842347351,1.0800727685809555,1.6157205168026965
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,4,opt-125m,1,32,768,cpu,49152,3,True,0.3883988857269287,0.40007925033569336,0.77059006690979,,,0.2742421627044678,0.2750637769699097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2742421627044678,0.2750637769699097,0,0,,,0,0,,,
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,5,opt-125m,1,32,768,gpu,49152,3,True,0.38607072830200195,0.36427974700927734,0.49309396743774414,,,0.33753204345703125,0.3424846887588501,0.007552000228315592,0.007580800028517842,0.023233890533447266,0.0233428955078125,0.008448000065982342,0.008620799705386161,0.024448871612548828,0.024495649337768554,0.28972816467285156,0.29481041431427,0,0,,,0,0,1.0,1.0,1.0
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,6,opt-125m,1,32,768,gpu_h2d,49152,3,True,15.005256175994873,26.932859420776367,1.34761381149292,0.6014560163021088,1.1206560134887695,1.28855299949646,1.306723141670227,0.06771200150251389,0.07220480218529701,0.10779500007629395,0.11583669185638427,0.005311999935656786,0.005369599955156445,0.8288841247558594,0.8675783157348633,0.3598518371582031,0.3840271234512329,6,6,1.0128487876157959,1.0108222285385071,1,0,3.8175723593499242,8.96610162280364,0.6287878662604036
experiments/inferrelay_two_node/results/t1-pilot-03,B-A,7,opt-125m,1,32,768,gpu_compute,49152,3,True,11.949175119400024,12.099470138549805,0.7673189640045166,0.13118400424718857,0.13180800527334213,0.40871095657348633,0.4116081714630127,0.037856001406908035,0.03805759958922863,0.05990934371948242,0.06039342880249023,0.011776000261306763,0.013043199852108955,0.031504154205322266,0.0418278694152832,0.3171536922454834,0.3213615417480469,9,6,1.0615928614280312,1.4515658298235863,3,2,1.2108804615628037,5.012711899156217,1.393939413983354
