model,direction,batch,q,policy,best_continuous_cut,best_C1_ms,balanced_C1_ms,R1_ms,best_C1_over_R1,balanced_C1_over_R1
opt-1.3b,A-B,1,128,priority,1,324.52844619750977,,392.29306077957153,0.827260226200793,
opt-1.3b,A-B,1,128,window2,1,315.54417085647583,,382.1839442253113,0.8256342937066218,
opt-1.3b,B-A,1,128,priority,3,324.7941129207611,,391.08372592926025,0.8304976438204189,
opt-1.3b,B-A,1,128,window2,3,311.582417011261,,397.48927903175354,0.783876279053982,
