run,stage,model,direction,batch,q,steps,arm,cut,policy,n,e2e_p50_ms,e2e_p95_ms,prefill_p50_ms,decode_step_p50_ms,correct,logits_max_abs,kv_max_abs,wire_bytes,activation_bytes,first_endpoint_weight_bytes,first_kv_bytes,first_weight_slot_bytes,first_resident_block_bytes,first_pinned_weight_bytes,first_gpu_allocated_peak_bytes,first_gpu_reserved_peak_bytes,first_rss_sampled_peak_bytes,first_weight_transfer_bytes,first_weight_transfers,first_h2d_chunk_sum_ms,first_weight_host_wait_ms,first_weight_gpu_wait_ms,first_compute_cuda_ms,first_buffer_host_wait_ms,first_buffer_gpu_wait_ms,first_activation_receive_wait_ms,last_endpoint_weight_bytes,last_kv_bytes,last_weight_slot_bytes,last_resident_block_bytes,last_pinned_weight_bytes,last_gpu_allocated_peak_bytes,last_gpu_reserved_peak_bytes,last_rss_sampled_peak_bytes,last_weight_transfer_bytes,last_weight_transfers,last_h2d_chunk_sum_ms,last_weight_host_wait_ms,last_weight_gpu_wait_ms,last_compute_cuda_ms,last_buffer_host_wait_ms,last_buffer_gpu_wait_ms,last_activation_receive_wait_ms,h2d_overlap_lower_ms,h2d_overlap_upper_ms,clock_offset_width_ms
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,C1,1,bulk,3,317.46776390075684,317.6701449394226,86.62162208557129,76.72599506378174,True,0.0,0.0,537710,536576,214310912,6438912,1208598528,0,604299264,1445767680,1457520640,6859669504,2417197056,4,184.6754126548767,0.0575566291809082,51.579423151910305,11.910080075263977,90.15517902374268,0.08704000085708685,0.0,205922304,19316736,1208598528,0,1812897792,1456943616,1488977920,7082962944,7251591168,12,298.8362473845482,0.04559135437011719,89.26748769482947,28.414655804634094,259.2961733341217,3.329887992294971,193.99812722206116,170.3271040916443,174.0089406967163,0.35486292839050293
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,C1,1,window2,3,315.54417085647583,316.45742268562316,83.88049411773682,76.49186706542969,True,0.0,0.0,537726,536576,214310912,6438912,1208598528,0,604299264,1445767680,1457520640,6859755520,2417197056,4,186.40484523773193,56.42306852340698,0.1387199992313981,10.249248147010803,0.007067680358886719,0.3003520015627146,0.0,205922304,19316736,1208598528,0,1812897792,1456943616,1488977920,7083413504,7251591168,12,300.5471734404564,170.23197317123413,0.24892800307134166,25.37004792690277,4.508386611938477,1.574047980364412,123.8554630279541,0.052074432373046875,179.39727687835693,0.35153913497924805
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,C1,1,priority,3,324.52844619750977,324.9480269432068,85.51102828979492,79.23281192779541,True,0.0,0.0,537726,536576,214310912,6438912,1208598528,0,604299264,1445767680,1457520640,6860128256,2417197056,4,186.89830255508423,58.471052169799805,0.1859520049765706,10.241152167320251,0.006375312805175781,0.28735999623313546,0.0,205922304,19316736,1208598528,0,1812897792,1456943616,1488977920,7085297664,7251591168,12,302.12201422452927,224.61393904685974,0.18422400124836713,25.438112020492554,3.976726531982422,1.5447679737117141,78.24397611618042,6.2421112060546875,182.85325384140015,0.3198380470275879
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,R1,2,bulk,3,385.85545110702515,386.6434617996216,150.9821171760559,48.06684589385986,True,0.0,0.0,1612438,1609728,214310912,12877824,1208598528,0,1208598528,1452206592,1465909248,7062278144,4834394112,8,371.76732367277145,0.030356407165527344,97.49046446662396,16.55670404434204,327.8476405143738,2.5276480111060664,216.47576999664307,205922304,12877824,1208598528,0,1208598528,1450500608,1480589312,7085244416,4834394112,8,196.8265796005726,0.06831574440002441,0.2879360057413578,28.19811189174652,332.0450830459595,2.0065600379602984,145.41989970207214,194.95947790145874,197.9185652732849,0.20199108123779297
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,R1,2,window2,3,382.1839442253113,382.8191063404083,149.75264596939087,91.2381477355957,True,0.0,0.0,1612438,1609728,214310912,12877824,1208598528,0,1208598528,1452206592,1465909248,7062523904,4834394112,8,372.5344122648239,46.56541919708252,0.12800000049173832,16.889023780822754,0.009478569030761719,0.07513599991216324,127.57150363922119,205922304,12877824,1208598528,0,1208598528,1450500608,1480589312,7085146112,4834394112,8,199.9723070859909,0.06208610534667969,0.3748160023242235,29.601343870162964,153.0392758846283,2.8946240851655602,228.10435605049133,34.696303844451904,202.25034189224243,0.26468491554260254
experiments/inferrelay_two_node/results/t3-control-a-b-01,t3,opt-1.3b,A-B,1,128,4,R1,2,priority,3,392.29306077957153,394.14700493812563,104.84480810165405,95.48680114746094,True,0.0,0.0,1612438,1609728,214310912,12877824,1208598528,0,1208598528,1452206592,1465909248,7063068672,4834394112,8,373.76163989305496,334.66591215133667,0.32812799233943224,16.828767776489258,0.008932113647460938,0.07452799892053008,13.801968574523926,205922304,12877824,1208598528,0,1208598528,1450500608,1480589312,7084830720,4834394112,8,202.04461932182312,0.039841651916503906,0.1605760008096695,19.357183694839478,105.36123943328857,2.951936047291383,359.8863341808319,85.97767305374146,207.7037410736084,0.17120909690856934
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,C1,3,bulk,3,308.3612768650055,308.5833131313324,96.02696371078491,74.11328315734863,True,0.0,0.0,537710,536576,214310912,19316736,1208598528,0,1812897792,1458645504,1474297856,7065485312,7251591168,12,299.3107685446739,0.03164339065551758,242.91782546043396,24.788416028022766,232.43862652778625,0.022911999200005084,0.0,205922304,6438912,1208598528,0,604299264,1444061696,1472200704,6858223616,2417197056,4,184.3229360282421,0.03348875045776367,0.15017599891871214,14.057504177093506,155.39129734039307,0.13398399981088005,286.32845640182495,182.51524209976196,184.85142397880554,0.28483080863952637
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,C1,3,window2,3,311.582417011261,311.77144129276274,97.09784126281738,76.182785987854,True,0.0,0.0,537726,536576,214310912,19316736,1208598528,0,1812897792,1458645504,1474297856,7065534464,7251591168,12,300.5448873639107,259.57530522346497,0.4594880035147071,25.47590398788452,0.013769149780273438,0.23241600207984447,0.0,205922304,6438912,1208598528,0,604299264,1444061696,1472200704,6858878976,2417197056,4,186.1894834637642,0.017867088317871094,0.07769600069150329,10.47491192817688,12.69676160812378,2.684992086607963,295.6375708580017,126.29231381416321,186.43649625778198,0.1607820987701416
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,C1,3,priority,3,324.7941129207611,325.4182159662247,87.18940377235413,79.60879802703857,True,0.0,0.0,537726,536576,214310912,19316736,1208598528,0,1812897792,1458645504,1474297856,7066996736,7251591168,12,302.54226064682007,282.4839973449707,0.3017919985577464,25.56496000289917,0.015596389770507812,0.2985279941931367,0.0,205922304,6438912,1208598528,0,604299264,1444061696,1472200704,6859173888,2417197056,4,186.97364723682404,0.01976919174194336,0.10691200289875269,11.797375798225403,16.22384262084961,1.0226559676229954,306.82192373275757,122.36203813552856,188.8971643447876,0.16271305084228516
experiments/inferrelay_two_node/results/t3-control-b-a-01,t3,opt-1.3b,B-A,1,128,4,R1,2,bulk,3,398.71620631217957,399.4203795194626,145.46487712860107,97.0861439704895,True,0.0,0.0,1612438,1609728,214310912,12877824,1208598528,0,1208598528,1452206592,1465909248,7067189248,4834394112,8,197.2158465385437,0.2952096462249756,24.952927473932505,29.94432020187378,292.5475618839264,1.2175359953253064,11.70596718788147,205922304,12877824,1208598528,0,1208598528,1450500608,1480589312,7061495808,4834394112,8,371.35486006736755,0.01689910888671875,0.09648000169545412,16.633280038833618,335.89115858078003,6.370591823069844,372.0046491622925,196.4327290058136,197.5456199645996,0.27875280380249023
