kind,layer,token,micro,start_ms,end_ms,duration_ms
weight_load,0,0,0,0.3031040132045746,6.524352073669434,6.221248060464859
weight_load,1,0,0,6.573215961456299,6.961215972900391,0.3880000114440918
compute,0,0,0,6.6927361488342285,6.770559787750244,0.07782363891601562
weight_load,2,0,0,6.979167938232422,7.730400085449219,0.7512321472167969
compute,1,0,0,7.0483198165893555,7.20688009262085,0.15856027603149414
weight_load,3,0,0,7.747776031494141,8.138655662536621,0.39087963104248047
compute,2,0,0,7.844223976135254,7.938432216644287,0.0942082405090332
weight_load,4,0,0,8.155327796936035,8.90287971496582,0.7475519180297852
compute,3,0,0,8.222623825073242,8.35097599029541,0.12835216522216797
weight_load,5,0,0,8.919967651367188,9.307328224182129,0.3873605728149414
compute,4,0,0,9.012703895568848,9.105695724487305,0.09299182891845703
weight_load,6,0,0,9.324064254760742,10.071455955505371,0.7473917007446289
compute,5,0,0,9.390975952148438,9.512831687927246,0.1218557357788086
weight_load,7,0,0,10.08784008026123,10.474271774291992,0.3864316940307617
compute,6,0,0,10.177760124206543,10.269248008728027,0.09148788452148438
weight_load,8,0,0,10.49068832397461,11.238719940185547,0.7480316162109375
compute,7,0,0,10.557408332824707,10.678624153137207,0.1212158203125
weight_load,9,0,0,11.255999565124512,11.64310359954834,0.3871040344238281
compute,8,0,0,11.346464157104492,11.437567710876465,0.09110355377197266
weight_load,10,0,0,11.659584045410156,12.40719985961914,0.7476158142089844
compute,9,0,0,11.725855827331543,11.846624374389648,0.12076854705810547
weight_load,11,0,0,12.424287796020508,12.811712265014648,0.3874244689941406
compute,10,0,0,12.515104293823242,12.608863830566406,0.09375953674316406
weight_load,12,0,0,12.828415870666504,13.576255798339844,0.7478399276733398
compute,11,0,0,12.895584106445312,13.012031555175781,0.11644744873046875
weight_load,13,0,0,13.592672348022461,13.979552268981934,0.38687992095947266
compute,12,0,0,13.682463645935059,13.776479721069336,0.09401607513427734
weight_load,14,0,0,13.995743751525879,14.746432304382324,0.7506885528564453
compute,13,0,0,14.061887741088867,14.175935745239258,0.11404800415039062
weight_load,15,0,0,14.76307201385498,15.152352333068848,0.3892803192138672
compute,14,0,0,14.852864265441895,14.946687698364258,0.09382343292236328
weight_load,16,0,0,15.16857624053955,15.919391632080078,0.7508153915405273
compute,15,0,0,15.234784126281738,15.34768009185791,0.11289596557617188
weight_load,17,0,0,15.935935974121094,16.325439453125,0.38950347900390625
compute,16,0,0,16.025056838989258,16.117311477661133,0.092254638671875
weight_load,18,0,0,16.34182357788086,17.094303131103516,0.7524795532226562
compute,17,0,0,16.408479690551758,16.52351951599121,0.11503982543945312
weight_load,19,0,0,17.111167907714844,17.50150489807129,0.3903369903564453
compute,18,0,0,17.200767517089844,17.293792724609375,0.09302520751953125
weight_load,20,0,0,17.517919540405273,18.269407272338867,0.7514877319335938
compute,19,0,0,17.5850887298584,17.69820785522461,0.11311912536621094
weight_load,21,0,0,18.285823822021484,18.67411231994629,0.3882884979248047
compute,20,0,0,18.376352310180664,18.470399856567383,0.09404754638671875
weight_load,22,0,0,18.690303802490234,19.441375732421875,0.7510719299316406
compute,21,0,0,18.758464813232422,18.88265609741211,0.1241912841796875
weight_load,23,0,0,19.45792007446289,19.846271514892578,0.3883514404296875
compute,22,0,0,19.547040939331055,19.640928268432617,0.0938873291015625
weight_load,24,0,0,19.86249542236328,20.612384796142578,0.7498893737792969
compute,23,0,0,19.928863525390625,20.04140853881836,0.11254501342773438
weight_load,25,0,0,20.628511428833008,26.63587188720703,6.007360458374023
compute,24,0,0,20.680320739746094,20.76924705505371,0.08892631530761719
weight_load,0,1,0,26.653247833251953,32.860511779785156,6.207263946533203
compute,25,0,0,26.698335647583008,26.969600677490234,0.27126502990722656
weight_load,1,1,0,32.90438461303711,33.292320251464844,0.3879356384277344
compute,0,1,0,33.03526306152344,33.09622573852539,0.060962677001953125
weight_load,2,1,0,33.30825424194336,34.05615997314453,0.7479057312011719
compute,1,1,0,33.3831672668457,33.50950241088867,0.12633514404296875
weight_load,3,1,0,34.072574615478516,34.460575103759766,0.38800048828125
compute,2,1,0,34.173152923583984,34.2375373840332,0.06438446044921875
weight_load,4,1,0,34.47731018066406,35.22969436645508,0.7523841857910156
compute,3,1,0,34.552127838134766,34.659454345703125,0.10732650756835938
weight_load,5,1,0,35.24812698364258,35.63836669921875,0.3902397155761719
compute,4,1,0,35.351905822753906,35.41270446777344,0.06079864501953125
weight_load,6,1,0,35.654624938964844,36.4015998840332,0.7469749450683594
compute,5,1,0,35.7295036315918,35.842464447021484,0.1129608154296875
weight_load,7,1,0,36.41791915893555,36.80524826049805,0.3873291015625
compute,6,1,0,36.515647888183594,36.56694412231445,0.051296234130859375
weight_load,8,1,0,36.82195281982422,37.569854736328125,0.7479019165039062
compute,7,1,0,36.89478302001953,36.99923324584961,0.10445022583007812
weight_load,9,1,0,37.585601806640625,37.972415924072266,0.3868141174316406
compute,8,1,0,37.682464599609375,37.741920471191406,0.05945587158203125
weight_load,10,1,0,37.98819351196289,38.73548889160156,0.7472953796386719
compute,9,1,0,38.06051254272461,38.16352081298828,0.10300827026367188
weight_load,11,1,0,38.75145721435547,39.13907241821289,0.3876152038574219
compute,10,1,0,38.850528717041016,38.912574768066406,0.062046051025390625
weight_load,12,1,0,39.15536117553711,39.90348815917969,0.7481269836425781
compute,11,1,0,39.229278564453125,39.333152770996094,0.10387420654296875
weight_load,13,1,0,39.91996765136719,40.30819320678711,0.3882255554199219
compute,12,1,0,40.0181770324707,40.07299041748047,0.054813385009765625
weight_load,14,1,0,40.32428741455078,41.07241439819336,0.7481269836425781
compute,13,1,0,40.397056579589844,40.49798583984375,0.10092926025390625
weight_load,15,1,0,41.08835220336914,41.478336334228516,0.389984130859375
compute,14,1,0,41.185951232910156,41.23612976074219,0.05017852783203125
weight_load,16,1,0,41.49456024169922,42.2454719543457,0.7509117126464844
compute,15,1,0,41.56745529174805,41.66864013671875,0.10118484497070312
weight_load,17,1,0,42.26144027709961,42.65087890625,0.3894386291503906
compute,16,1,0,42.35871887207031,42.408607482910156,0.04988861083984375
weight_load,18,1,0,42.666656494140625,43.4194221496582,0.7527656555175781
compute,17,1,0,42.739871978759766,42.8427848815918,0.10291290283203125
weight_load,19,1,0,43.43539047241211,43.82640075683594,0.3910102844238281
compute,18,1,0,43.531776428222656,43.58911895751953,0.057342529296875
weight_load,20,1,0,43.84211349487305,44.593727111816406,0.7516136169433594
compute,19,1,0,43.916481018066406,44.01839828491211,0.10191726684570312
weight_load,21,1,0,44.60960006713867,45.00057601928711,0.3909759521484375
compute,20,1,0,44.70608139038086,44.757568359375,0.051486968994140625
weight_load,22,1,0,45.01628875732422,45.76873779296875,0.7524490356445312
compute,21,1,0,45.089630126953125,45.19062423706055,0.10099411010742188
weight_load,23,1,0,45.78422546386719,46.17283248901367,0.3886070251464844
compute,22,1,0,45.88188934326172,45.933345794677734,0.051456451416015625
weight_load,24,1,0,46.188575744628906,46.93824005126953,0.749664306640625
compute,23,1,0,46.26108932495117,46.36124801635742,0.10015869140625
weight_load,25,1,0,46.954559326171875,53.04844665527344,6.0938873291015625
compute,24,1,0,47.01273727416992,47.06361770629883,0.05088043212890625
weight_load,0,2,0,53.072383880615234,59.28620910644531,6.213825225830078
compute,25,1,0,53.12879943847656,53.354976654052734,0.22617721557617188
weight_load,1,2,0,59.33216094970703,59.720481872558594,0.3883209228515625
compute,0,2,0,59.46275329589844,59.53036880493164,0.06761550903320312
weight_load,2,2,0,59.7380485534668,60.487518310546875,0.7494697570800781
compute,1,2,0,59.835296630859375,59.97849655151367,0.14319992065429688
weight_load,3,2,0,60.50409698486328,60.89388656616211,0.3897895812988281
compute,2,2,0,60.606849670410156,60.67420959472656,0.06735992431640625
weight_load,4,2,0,60.909889221191406,61.6577262878418,0.7478370666503906
compute,3,2,0,60.98515319824219,61.09801483154297,0.11286163330078125
weight_load,5,2,0,61.67366409301758,62.06252670288086,0.38886260986328125
compute,4,2,0,61.800865173339844,61.86111831665039,0.060253143310546875
weight_load,6,2,0,62.0775032043457,62.82502365112305,0.7475204467773438
compute,5,2,0,62.15097427368164,62.258785247802734,0.10781097412109375
weight_load,7,2,0,62.84163284301758,63.229408264160156,0.3877754211425781
compute,6,2,0,62.9442253112793,62.996639251708984,0.0524139404296875
weight_load,8,2,0,63.245567321777344,63.992225646972656,0.7466583251953125
compute,7,2,0,63.3210563659668,63.42745590209961,0.1063995361328125
weight_load,9,2,0,64.00828552246094,64.39532470703125,0.3870391845703125
compute,8,2,0,64.10841369628906,64.16783905029297,0.05942535400390625
weight_load,10,2,0,64.41171264648438,65.15987396240234,0.7481613159179688
compute,9,2,0,64.48601531982422,64.59053039550781,0.10451507568359375
weight_load,11,2,0,65.17593383789062,65.56336212158203,0.38742828369140625
compute,10,2,0,65.27503967285156,65.32784271240234,0.05280303955078125
weight_load,12,2,0,65.57968139648438,66.32653045654297,0.7468490600585938
compute,11,2,0,65.65315246582031,65.75862121582031,0.10546875
weight_load,13,2,0,66.34278106689453,66.72972869873047,0.3869476318359375
compute,12,2,0,66.44048309326172,66.5,0.05951690673828125
weight_load,14,2,0,66.74626922607422,67.49727630615234,0.751007080078125
compute,13,2,0,66.84159851074219,66.94886779785156,0.107269287109375
weight_load,15,2,0,67.51344299316406,67.90428924560547,0.39084625244140625
compute,14,2,0,67.66460418701172,67.72390747070312,0.05930328369140625
weight_load,16,2,0,67.92233276367188,68.67520141601562,0.75286865234375
compute,15,2,0,68.0024642944336,68.1192626953125,0.11679840087890625
weight_load,17,2,0,68.69197082519531,69.08338928222656,0.39141845703125
compute,16,2,0,68.82166290283203,68.87522888183594,0.05356597900390625
weight_load,18,2,0,69.1003189086914,69.85411071777344,0.7537918090820312
compute,17,2,0,69.1783676147461,69.28514862060547,0.106781005859375
weight_load,19,2,0,69.87276458740234,70.2636489868164,0.3908843994140625
compute,18,2,0,69.97395324707031,70.03472137451172,0.06076812744140625
weight_load,20,2,0,70.2804183959961,71.03158569335938,0.7511672973632812
compute,19,2,0,70.3559341430664,70.45996856689453,0.104034423828125
weight_load,21,2,0,71.0495376586914,71.44009399414062,0.39055633544921875
compute,20,2,0,71.15321350097656,71.20934295654297,0.05612945556640625
weight_load,22,2,0,71.45629119873047,72.20706939697266,0.7507781982421875
compute,21,2,0,71.5316162109375,71.63884735107422,0.10723114013671875
weight_load,23,2,0,72.2234878540039,72.6108169555664,0.3873291015625
compute,22,2,0,72.32259368896484,72.38278198242188,0.06018829345703125
weight_load,24,2,0,72.62735748291016,73.37798309326172,0.7506256103515625
compute,23,2,0,72.70291137695312,72.81104278564453,0.10813140869140625
weight_load,25,2,0,73.39421081542969,79.4356460571289,6.041435241699219
compute,24,2,0,73.45471954345703,73.50531005859375,0.05059051513671875
weight_load,0,3,0,79.45442962646484,85.66738891601562,6.212959289550781
compute,25,2,0,79.50908660888672,79.73731231689453,0.2282257080078125
weight_load,1,3,0,85.71183776855469,86.0992660522461,0.38742828369140625
compute,0,3,0,85.84166717529297,85.90332794189453,0.0616607666015625
weight_load,2,3,0,86.11510467529297,86.86227416992188,0.7471694946289062
compute,1,3,0,86.19168090820312,86.31078338623047,0.11910247802734375
weight_load,3,3,0,86.8795166015625,87.26687622070312,0.387359619140625
compute,2,3,0,86.97872161865234,87.0363540649414,0.0576324462890625
weight_load,4,3,0,87.28284454345703,88.03056335449219,0.7477188110351562
compute,3,3,0,87.35791778564453,87.46182250976562,0.10390472412109375
