run,stage,model,direction,batch,q,steps,arm,cut,policy,sample,e2e_ms,prefill_ms,decode_mean_ms,first_errors,last_errors
experiments/inferrelay_two_node/results/t3-125m-a-b-01,t3,opt-125m,A-B,1,32,8,Cresident,2,priority,1,23.004920959472656,3.5268502235412598,2.7811857632228305,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-125m-a-b-01,t3,opt-125m,A-B,1,32,8,Cresident,2,priority,2,33.143415451049805,7.582817077636719,3.6494041851588657,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-125m-a-b-01,t3,opt-125m,A-B,1,32,8,Cresident,2,priority,3,29.37825298309326,5.066160202026367,3.470734255654471,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-125m-a-b-01,t3,opt-125m,A-B,1,32,8,Rresident,2,priority,1,30.093235969543457,4.777713298797607,3.614926201956613,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-125m-a-b-01,t3,opt-125m,A-B,1,32,8,Rresident,2,priority,2,32.41850519180298,5.6418232917785645,3.8233190945216586,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-125m-a-b-01,t3,opt-125m,A-B,1,32,8,Rresident,2,priority,3,32.817309856414795,5.887563228607178,3.8449595996311734,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-125m-a-b-01,t3,opt-125m,A-B,1,32,8,C0,2,window2,1,134.2646689414978,15.960297107696533,16.870047569274902,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-125m-a-b-01,t3,opt-125m,A-B,1,32,8,C0,2,window2,2,137.276264667511,16.68041706085205,17.191768305642263,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-125m-a-b-01,t3,opt-125m,A-B,1,32,8,C0,2,window2,3,138.74790239334106,16.97588300704956,17.358860765184676,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-125m-a-b-01,t3,opt-125m,A-B,1,32,8,R0,2,window2,1,134.44866466522217,17.14189052581787,16.73420374734061,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
experiments/inferrelay_two_node/results/t3-125m-a-b-01,t3,opt-125m,A-B,1,32,8,R0,2,window2,2,138.0746636390686,17.21223783493042,17.23970365524292,"{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}","{'tokens_exact': True, 'logits_max_abs': 0.0, 'kv_max_abs': 0.0}"
