model,direction,batch,q,policy,best_continuous_cut,best_C1_ms,balanced_C1_ms,R1_ms,best_C1_over_R1,balanced_C1_over_R1
opt-125m,A-B,1,32,priority,2,59.97001123428345,59.97001123428345,60.12252140045166,0.9974633438083476,0.9974633438083476
opt-125m,A-B,1,32,window2,2,59.77440118789673,59.77440118789673,76.90014696121216,0.7772989200923957,0.7772989200923957
opt-125m,A-B,1,128,priority,2,31.81553316116333,31.81553316116333,31.29303789138794,1.0166968535170304,1.0166968535170304
opt-125m,A-B,1,128,window2,2,32.73995304107666,32.73995304107666,38.28498888015747,0.8551642301258517,0.8551642301258517
opt-125m,A-B,4,256,priority,2,41.617218017578125,41.617218017578125,81.02732706069946,0.5136195346343054,0.5136195346343054
opt-125m,A-B,4,256,window2,2,40.79659986495972,40.79659986495972,79.6030740737915,0.5125003065477289,0.5125003065477289
opt-125m,B-A,1,32,priority,3,53.95177698135376,63.19291400909424,66.85495209693909,0.8069974667414938,0.9452241311528438
opt-125m,B-A,1,32,window2,2,62.262266874313354,62.262266874313354,87.91630506515503,0.7081993132920066,0.7081993132920066
opt-125m,B-A,1,128,priority,3,26.522344827651978,32.307045221328735,32.34863209724426,0.8198907684232923,0.9987144162451596
opt-125m,B-A,1,128,window2,3,28.097005128860474,32.34340691566467,48.25754189491272,0.5822303421513984,0.6702249150215066
opt-125m,B-A,4,256,priority,2,52.97455883026123,52.97455883026123,68.17186427116394,0.7770736416939822,0.7770736416939822
opt-125m,B-A,4,256,window2,2,50.939091205596924,50.939091205596924,69.07483386993408,0.7374479003672127,0.7374479003672127
