kind,layer,token,micro,start_ms,end_ms,duration_ms
weight_load,0,0,0,0.7485439777374268,6.9609599113464355,6.212415933609009
weight_load,1,0,0,7.010272026062012,7.398015975952148,0.3877439498901367
compute,0,0,0,7.128575801849365,7.208352088928223,0.07977628707885742
weight_load,2,0,0,7.417344093322754,8.167231559753418,0.7498874664306641
compute,1,0,0,7.4896321296691895,7.648255825042725,0.15862369537353516
weight_load,3,0,0,8.184703826904297,8.573439598083496,0.3887357711791992
compute,2,0,0,8.279007911682129,8.372832298278809,0.09382438659667969
weight_load,4,0,0,8.589823722839355,9.33779239654541,0.7479686737060547
compute,3,0,0,8.65721607208252,8.786304473876953,0.1290884017944336
weight_load,5,0,0,9.354496002197266,9.741951942443848,0.38745594024658203
compute,4,0,0,9.446304321289062,9.537952423095703,0.09164810180664062
weight_load,6,0,0,9.758463859558105,10.505887985229492,0.7474241256713867
compute,5,0,0,9.825216293334961,9.946751594543457,0.1215353012084961
weight_load,7,0,0,10.522303581237793,10.909600257873535,0.3872966766357422
compute,6,0,0,10.613120079040527,10.705183982849121,0.09206390380859375
weight_load,8,0,0,10.92563247680664,11.67404842376709,0.7484159469604492
compute,7,0,0,10.99238395690918,11.111359596252441,0.11897563934326172
weight_load,9,0,0,11.691583633422852,12.080032348632812,0.38844871520996094
compute,8,0,0,11.784383773803711,11.875743865966797,0.09136009216308594
weight_load,10,0,0,12.096511840820312,12.844223976135254,0.7477121353149414
compute,9,0,0,12.163871765136719,12.283647537231445,0.11977577209472656
weight_load,11,0,0,12.860639572143555,13.248607635498047,0.3879680633544922
compute,10,0,0,12.951552391052246,13.041152000427246,0.089599609375
weight_load,12,0,0,13.265312194824219,14.014495849609375,0.7491836547851562
compute,11,0,0,13.335455894470215,13.453632354736328,0.11817646026611328
weight_load,13,0,0,14.030336380004883,14.41756820678711,0.38723182678222656
compute,12,0,0,14.120479583740234,14.214624404907227,0.09414482116699219
weight_load,14,0,0,14.434368133544922,15.181376457214355,0.7470083236694336
compute,13,0,0,14.501279830932617,14.617728233337402,0.11644840240478516
weight_load,15,0,0,15.19814395904541,15.588704109191895,0.3905601501464844
compute,14,0,0,15.28825569152832,15.383071899414062,0.09481620788574219
weight_load,16,0,0,15.605888366699219,16.3571834564209,0.7512950897216797
compute,15,0,0,15.673919677734375,15.787232398986816,0.1133127212524414
weight_load,17,0,0,16.373632431030273,16.76367950439453,0.3900470733642578
compute,16,0,0,16.464448928833008,16.558624267578125,0.09417533874511719
weight_load,18,0,0,16.780256271362305,17.53276824951172,0.7525119781494141
compute,17,0,0,16.847200393676758,16.964704513549805,0.11750411987304688
weight_load,19,0,0,17.548992156982422,17.939424514770508,0.39043235778808594
compute,18,0,0,17.63907241821289,17.731168746948242,0.09209632873535156
weight_load,20,0,0,17.955551147460938,18.707807540893555,0.7522563934326172
compute,19,0,0,18.02249526977539,18.139135360717773,0.11664009094238281
weight_load,21,0,0,18.725183486938477,19.115808486938477,0.390625
compute,20,0,0,18.81488037109375,18.908735275268555,0.09385490417480469
weight_load,22,0,0,19.132064819335938,19.885440826416016,0.7533760070800781
compute,21,0,0,19.19990348815918,19.316255569458008,0.11635208129882812
weight_load,23,0,0,19.902015686035156,20.29199981689453,0.389984130859375
compute,22,0,0,19.991199493408203,20.084224700927734,0.09302520751953125
weight_load,24,0,0,20.308128356933594,21.061376571655273,0.7532482147216797
compute,23,0,0,20.3753604888916,20.48931121826172,0.11395072937011719
weight_load,25,0,0,21.077407836914062,27.086816787719727,6.009408950805664
compute,24,0,0,21.12998390197754,21.220895767211914,0.090911865234375
weight_load,0,1,0,27.103328704833984,33.31196975708008,6.208641052246094
compute,25,0,0,27.147615432739258,27.417856216430664,0.27024078369140625
weight_load,1,1,0,33.356544494628906,33.74396896362305,0.3874244689941406
compute,0,1,0,33.48691177368164,33.54857635498047,0.061664581298828125
weight_load,2,1,0,33.760353088378906,34.50703811645508,0.7466850280761719
compute,1,1,0,33.83440017700195,33.96223831176758,0.127838134765625
weight_load,3,1,0,34.523712158203125,34.91132736206055,0.3876152038574219
compute,2,1,0,34.62371063232422,34.68851089477539,0.06480026245117188
weight_load,4,1,0,34.927711486816406,35.67488098144531,0.7471694946289062
compute,3,1,0,35.001983642578125,35.11123275756836,0.10924911499023438
weight_load,5,1,0,35.69171142578125,36.07894515991211,0.3872337341308594
