step,slot,copy_start_ms,copy_end_ms,compute_start_ms,compute_end_ms,buffer_reuse_wait_ms,data_ready_wait_ms
0,0,0.023455999791622162,2.4354560375213623,2.449376106262207,3.0766398906707764,0.00342399999499321,2.2816319465637207
1,1,2.4368319511413574,4.850815773010254,4.86630392074585,5.494272232055664,0.00044800000614486635,1.7755199670791626
2,0,4.852223873138428,7.265567779541016,7.283775806427002,7.9139838218688965,0.00044800000614486635,1.7753280401229858
3,1,7.2669758796691895,9.679200172424316,9.68175983428955,10.262720108032227,0.00044800000614486635,1.7598719596862793
