run,stage,model,direction,batch,q,steps,arm,cut,policy,n,e2e_p50_ms,e2e_p95_ms,prefill_p50_ms,decode_step_p50_ms,correct,logits_max_abs,kv_max_abs,wire_bytes,activation_bytes,first_endpoint_weight_bytes,first_kv_bytes,first_weight_slot_bytes,first_resident_block_bytes,first_pinned_weight_bytes,first_gpu_allocated_peak_bytes,first_gpu_reserved_peak_bytes,first_rss_sampled_peak_bytes,first_weight_transfer_bytes,first_weight_transfers,first_h2d_chunk_sum_ms,first_weight_host_wait_ms,first_weight_gpu_wait_ms,first_compute_cuda_ms,first_buffer_host_wait_ms,first_buffer_gpu_wait_ms,first_activation_receive_wait_ms,last_endpoint_weight_bytes,last_kv_bytes,last_weight_slot_bytes,last_resident_block_bytes,last_pinned_weight_bytes,last_gpu_allocated_peak_bytes,last_gpu_reserved_peak_bytes,last_rss_sampled_peak_bytes,last_weight_transfer_bytes,last_weight_transfers,last_h2d_chunk_sum_ms,last_weight_host_wait_ms,last_weight_gpu_wait_ms,last_compute_cuda_ms,last_buffer_host_wait_ms,last_buffer_gpu_wait_ms,last_activation_receive_wait_ms,h2d_overlap_lower_ms,h2d_overlap_upper_ms,clock_offset_width_ms
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,32,8,C1,3,window2,3,87.67630815505981,88.81560626029969,15.096176147460938,10.198588371276855,True,0.0,0.0,62154,59904,80366592,1078272,85054464,0,127581696,177013248,190840832,1749839872,1020653568,24,79.82622462511063,36.07607078552246,0.5554559994488955,13.308768004179,0.03359174728393555,0.5829760087653995,0.0,77220864,359424,85054464,0,42527232,175962624,190840832,1740861440,340217856,8,14.6857328414917,0.0704348087310791,0.294240003451705,15.605439901351929,51.902667760849,0.3071680022403598,60.82347345352173,6.3888068199157715,15.615689754486084,0.174058198928833
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,32,8,R1,2,window2,3,76.90014696121216,76.951944065094,15.940876960754395,9.592592716217041,True,0.0,0.0,185022,179712,80366592,718848,85054464,0,85054464,176653824,190840832,1752592384,680435712,16,52.944987654685974,3.2885780334472656,0.23174400068819523,8.005055993795395,14.5457763671875,0.17113599926233292,23.808303833007812,77220864,718848,85054464,0,85054464,176322048,190840832,1771888640,680435712,16,28.546855092048645,0.04952716827392578,0.2151999995112419,11.518848091363907,39.35677170753479,0.4517760027665645,39.27076554298401,14.070719242095947,22.809152126312256,0.10000109672546387
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,128,4,Cresident,2,priority,3,12.09036111831665,13.406941652297974,3.94679594039917,2.721190929412842,True,0.0,0.0,202354,201216,80366592,2414592,0,85054464,85054464,180371968,195035136,1769123840,0,0,0.0,0.0,0.0,3.6971839666366577,0.0,0.0,0.0,77220864,2414592,0,85054464,85054464,187819520,209715200,1789767680,0,0,0.0,0.0,0.0,3.3353919684886932,0.0,0.0,6.95774507522583,0.0,0.0,0.09765625
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,128,4,Rresident,2,priority,3,16.966571807861328,17.742528009414674,6.377552509307861,3.4943904876708984,True,0.0,0.0,606330,603648,80366592,2414592,0,85054464,85054464,180371968,195035136,1773477888,0,0,0.0,0.0,0.0,4.29097592830658,0.0,0.0,3.729863166809082,77220864,2414592,0,85054464,85054464,187817984,209715200,1790619648,0,0,0.0,0.0,0.0,3.4920000433921814,0.0,0.0,9.455688953399658,0.0,0.0,0.09790205955505371
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,128,4,C0,2,window2,3,62.37190866470337,62.45240197181702,15.963343143463135,15.285983562469482,True,0.0,0.0,202354,201216,80366592,2414592,85054464,0,85054464,180371968,195035136,1772830720,340217856,8,26.563458174467087,27.20382022857666,0.06982399988919497,3.69171205163002,0.01604461669921875,0.049632000271230936,0.0,77220864,2414592,85054464,0,85054464,187819520,209715200,1791066112,340217856,8,14.24764633178711,15.35292935371399,0.14224000088870525,7.086944043636322,0.030124425888061523,0.09465600084513426,36.05047917366028,0.0,0.0,0.17113566398620605
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,128,4,R0,2,window2,3,63.7198920249939,65.60239634513854,17.28630304336548,15.521838188171387,True,0.0,0.0,606330,603648,80366592,2414592,85054464,0,85054464,180371968,195035136,1773371392,340217856,8,26.551774322986603,27.137964248657227,0.07523200009018183,3.81071999669075,0.013672828674316406,0.041439998894929886,13.468414783477783,77220864,2414592,85054464,0,85054464,187817984,209715200,1791328256,340217856,8,14.218556880950928,15.089661121368408,0.12217600084841251,6.433951914310455,0.02372431755065918,0.07616000017151237,36.44139003753662,0.0,0.0,0.09940910339355469
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,128,4,C1,1,priority,3,46.949241161346436,49.22084302902222,15.148930072784424,9.553581714630127,True,0.0,0.0,202354,201216,80366592,1207296,85054464,0,42527232,179164672,192937984,1746501632,170108928,4,13.952256381511688,3.548142910003662,0.3083200082182884,9.599360227584839,8.184502124786377,0.35174399986863136,0.0,77220864,3621888,85054464,0,127581696,189026816,209715200,1790959616,510326784,12,22.01773026585579,2.606372356414795,0.36003199964761734,12.328831851482391,20.17923355102539,0.23795199627056718,25.250144958496094,2.735234260559082,5.8587212562561035,0.13995099067687988
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,128,4,C1,2,priority,3,31.81553316116333,32.03684458732605,12.189094066619873,6.653994083404541,True,0.0,0.0,202354,201216,80366592,2414592,85054464,0,85054464,180371968,195035136,1772064768,340217856,8,26.934492722153664,12.819602489471436,0.21260800305753946,4.908703923225403,0.011581897735595703,0.19420799799263477,0.0,77220864,2414592,85054464,0,85054464,187819520,209715200,1791332352,340217856,8,14.431005001068115,0.02526259422302246,0.13955199904739857,6.209920048713684,11.596310138702393,0.07484799949452281,21.83299160003662,9.022762775421143,15.423417568206787,0.09774088859558105
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,128,4,C1,3,priority,3,50.45701885223389,50.50774264335632,19.9881010055542,10.099967956542969,True,0.0,0.0,202354,201216,80366592,3621888,85054464,0,127581696,181579264,195035136,1774223360,510326784,12,40.52282065153122,15.611899852752686,0.3970880042761564,11.959712088108063,1.705124855041504,0.35811199620366096,0.0,77220864,1207296,85054464,0,42527232,186610688,207618048,1765199872,170108928,4,7.528609037399292,0.03474569320678711,0.1549759991466999,8.641727924346924,21.966574907302856,0.4197760042734444,35.829150915145874,3.474057674407959,6.964173316955566,0.1182711124420166
experiments/inferrelay_two_node/results/t3-125m-a-b-02,t3,opt-125m,A-B,1,128,4,R1,2,priority,3,31.29303789138794,32.8698317527771,12.342031955718994,6.333660125732422,True,0.0,0.0,606330,603648,80366592,2414592,85054464,0,85054464,180371968,195035136,1782501376,340217856,8,26.852163910865784,6.372700214385986,0.15612799860537052,4.630175948143005,0.010710716247558594,0.12432000180706382,6.89477014541626,77220864,2414592,85054464,0,85054464,187817984,209715200,1790996480,340217856,8,14.543809801340103,0.0216217041015625,0.09481599926948547,5.535776078701019,9.789076566696167,0.2908799950964749,18.531874179840088,8.62248945236206,15.194360256195068,0.09599494934082031
