run,model,direction,batch,q,arm,cut,policy,allocator_cap_each_node_bytes,communication_pinned_each_node_bytes,first_explicit_pinned_live_bytes,last_explicit_pinned_live_bytes
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,32,C0,2,window2,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,32,R0,2,window2,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,32,C1,1,priority,4294967296,131072,604430336,1813028864
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,32,C1,2,priority,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,32,C1,3,priority,4294967296,131072,1813028864,604430336
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,32,R1,2,priority,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,32,C1,1,window2,4294967296,131072,604430336,1813028864
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,32,C1,2,window2,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,32,C1,3,window2,4294967296,131072,1813028864,604430336
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,32,R1,2,window2,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,128,Cresident,2,priority,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,128,Rresident,2,priority,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,128,C0,2,window2,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,128,R0,2,window2,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,128,C1,1,priority,4294967296,524288,604823552,1813422080
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,128,C1,2,priority,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,128,C1,3,priority,4294967296,524288,1813422080,604823552
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,128,R1,2,priority,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,128,C1,1,window2,4294967296,524288,604823552,1813422080
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,128,C1,2,window2,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,128,C1,3,window2,4294967296,524288,1813422080,604823552
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,1,128,R1,2,window2,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,4,256,Cresident,2,priority,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,4,256,Rresident,2,priority,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,4,256,C0,2,window2,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,4,256,R0,2,window2,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,4,256,C1,1,priority,4294967296,4194304,608493568,1817092096
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,4,256,C1,2,priority,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,4,256,C1,3,priority,4294967296,4194304,1817092096,608493568
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,4,256,R1,2,priority,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,4,256,C1,1,window2,4294967296,4194304,608493568,1817092096
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,4,256,C1,2,window2,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,4,256,C1,3,window2,4294967296,4194304,1817092096,608493568
experiments/inferrelay_two_node/results/t3-13b-a-b-02,opt-1.3b,A-B,4,256,R1,2,window2,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,32,Cresident,2,priority,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,32,Rresident,2,priority,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,32,C0,2,window2,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,32,R0,2,window2,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,32,C1,1,priority,4294967296,131072,604430336,1813028864
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,32,C1,2,priority,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,32,C1,3,priority,4294967296,131072,1813028864,604430336
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,32,R1,2,priority,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,32,C1,1,window2,4294967296,131072,604430336,1813028864
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,32,C1,2,window2,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,32,C1,3,window2,4294967296,131072,1813028864,604430336
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,32,R1,2,window2,4294967296,131072,1208729600,1208729600
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,128,Cresident,2,priority,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,128,Rresident,2,priority,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,128,C0,2,window2,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,128,R0,2,window2,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,128,C1,1,priority,4294967296,524288,604823552,1813422080
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,128,C1,2,priority,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,128,C1,3,priority,4294967296,524288,1813422080,604823552
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,128,R1,2,priority,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,128,C1,1,window2,4294967296,524288,604823552,1813422080
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,128,C1,2,window2,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,128,C1,3,window2,4294967296,524288,1813422080,604823552
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,1,128,R1,2,window2,4294967296,524288,1209122816,1209122816
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,4,256,Cresident,2,priority,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,4,256,Rresident,2,priority,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,4,256,C0,2,window2,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,4,256,R0,2,window2,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,4,256,C1,1,priority,4294967296,4194304,608493568,1817092096
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,4,256,C1,2,priority,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,4,256,C1,3,priority,4294967296,4194304,1817092096,608493568
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,4,256,R1,2,priority,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,4,256,C1,1,window2,4294967296,4194304,608493568,1817092096
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,4,256,C1,2,window2,4294967296,4194304,1212792832,1212792832
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,4,256,C1,3,window2,4294967296,4194304,1817092096,608493568
experiments/inferrelay_two_node/results/t3-13b-b-a-02,opt-1.3b,B-A,4,256,R1,2,window2,4294967296,4194304,1212792832,1212792832
