step,slot,copy_start_ms,copy_end_ms,compute_start_ms,compute_end_ms,buffer_reuse_wait_ms,data_ready_wait_ms
0,0,0.022784000262618065,2.2676799297332764,2.2998719215393066,2.6326398849487305,0.0036800000816583633,2.1733438968658447
1,1,2.26908802986145,4.517055988311768,4.538335800170898,4.868896007537842,0.0004799999878741801,1.8793280124664307
2,0,4.518432140350342,6.760255813598633,6.7873921394348145,7.123712062835693,0.0004799999878741801,1.8920960426330566
3,1,6.761663913726807,9.005696296691895,9.011712074279785,9.305567741394043,0.0004799999878741801,1.8740160465240479
