step,slot,copy_start_ms,copy_end_ms,compute_start_ms,compute_end_ms,buffer_reuse_wait_ms,data_ready_wait_ms
0,0,0.022655999287962914,1.145632028579712,1.1750400066375732,1.286463975906372,0.003776000114157796,1.077280044555664
1,1,1.147007942199707,2.2722880840301514,2.2959039211273193,2.4139840602874756,0.0004799999878741801,0.9829760193824768
2,0,2.273695945739746,3.3946239948272705,3.4299519062042236,3.551392078399658,0.00044800000614486635,0.9834240078926086
3,1,3.3960320949554443,4.517055988311768,4.525248050689697,4.63046407699585,0.00044800000614486635,0.9479680061340332
