direction,q,side,policy,phase,node,end,sample,warmup,correct,requested_delay_ms,local_activation_arrival_ms,activation_ack_ms,post_activation_weight_wait_ms,subsequent_compute_cuda_ms,finite_work_complete_ms,weight_bytes,weight_work_ms,activation_event_prepare_ms,activation_copy_call_ms,activation_post_call_submit_ms,activation_completion_wait_ms,activation_host_ms,activation_cuda_ms,activation_gpu_start_ms,activation_gpu_end_ms
A-B,1,sender,bulk,zero,A,sender,3,False,True,0,0.8870773315429688,0.9230709075927734,14.318810939788818,0.39344000816345215,16.556078910827637,201433088,15.81327199935913,0.041927337646484375,0.011594772338867188,0.006663322448730469,0.028567790985107422,0.08875322341918945,0.020479999482631683,0.9472000002861023,0.9676799774169922
A-B,1,sender,bulk,zero,A,sender,4,False,True,0,0.7805671691894531,1.0048003196716309,14.429429054260254,0.6638079881668091,16.922473907470703,201433088,15.853042602539062,0.037158966064453125,0.011547088623046875,0.006539344787597656,0.029062747955322266,0.08430814743041992,0.02051199972629547,0.8360959887504578,0.856607973575592
A-B,1,sender,bulk,zero,A,sender,5,False,True,0,0.7335600852966309,1.0631608963012695,14.122454643249512,0.4532800018787384,16.405474185943604,201433088,15.783363819122314,0.038220882415771484,0.01210927963256836,0.006852626800537109,0.09209203720092773,0.1492748260498047,0.006943999789655209,0.7901759743690491,0.7971199750900269
A-B,1,sender,bulk,zero,A,sender,6,False,True,0,0.7525520324707031,1.1356806755065918,14.027396202087402,0.4574719965457916,16.408111095428467,201433088,15.787310123443604,0.16992568969726562,0.012672901153564453,0.011498451232910156,0.023697853088378906,0.21779489517211914,0.02163200080394745,0.9408320188522339,0.9624639749526978
A-B,1,sender,bulk,zero,A,sender,7,False,True,0,0.7081198692321777,1.0078811645507812,14.245179176330566,0.43532800674438477,16.430872917175293,201433088,15.778727531433105,0.0419011116027832,0.012029647827148438,0.0065250396728515625,0.028377056121826172,0.08883285522460938,0.02051199972629547,0.768447995185852,0.7889599800109863
A-B,1,sender,bulk,zero,A,sender,8,False,True,0,0.6948642730712891,0.983670711517334,14.279860496520996,0.41574400663375854,16.407043933868408,201433088,15.776222229003906,0.03823423385620117,0.012357711791992188,0.006878376007080078,0.027467727661132812,0.08493804931640625,0.02035200037062168,0.7513920068740845,0.7717440128326416
A-B,1,sender,bulk,zero,A,sender,9,False,True,0,0.6935853958129883,1.029066562652588,14.241024494171143,0.4105919897556305,16.40695810317993,201433088,15.783973217010498,0.04202842712402344,0.012141704559326172,0.0070858001708984375,0.02786540985107422,0.08912134170532227,0.02051199972629547,0.7541120052337646,0.7746239900588989
A-B,1,sender,bulk,zero,A,sender,10,False,True,0,0.718986988067627,0.966254711151123,14.296684741973877,0.41280001401901245,16.429719924926758,201433088,15.801953315734863,0.03829622268676758,0.012217998504638672,0.006768703460693359,0.02839517593383789,0.0856781005859375,0.020640000700950623,0.7759360074996948,0.7965760231018066
A-B,1,sender,bulk,zero,B,receiver,1,False,True,0,0.734581708908081,,0.0007770061492919922,1.050879955291748,2.278892993927002,0,0,0.2125720977783203,0.07261013984680176,0.03825783729553223,0.011899232864379883,0.3353393077850342,0.10630399733781815,0.9550719857215881,1.0613759756088257
A-B,1,sender,bulk,zero,B,receiver,2,False,True,0,0.6842577457427979,,0.0008618831634521484,1.0038080215454102,2.1401939392089844,0,0,0.19805908203125,0.05995893478393555,0.03499197959899902,0.011250972747802734,0.3042609691619873,0.08912000060081482,0.8889279961585999,0.9780480265617371
A-B,1,sender,bulk,zero,B,receiver,3,False,True,0,0.8432228565216064,,0.0006949901580810547,1.0182080268859863,2.3064301013946533,0,0,0.1931629180908203,0.059641122817993164,0.03488898277282715,0.01135110855102539,0.299044132232666,0.08963199704885483,1.0431040525436401,1.1327359676361084
A-B,1,sender,bulk,zero,B,receiver,4,False,True,0,0.7432849407196045,,0.0007870197296142578,1.0091520547866821,2.2326090335845947,0,0,0.20297884941101074,0.06197714805603027,0.03477787971496582,0.010798931121826172,0.310532808303833,0.09219200164079666,0.9521600008010864,1.0443520545959473
A-B,1,sender,bulk,zero,B,receiver,5,False,True,0,0.7530910968780518,,0.0009613037109375,1.0110080242156982,2.211369037628174,0,0,0.1945950984954834,0.059242963790893555,0.03431987762451172,0.010994195938110352,0.299152135848999,0.08908800035715103,0.9543359875679016,1.0434240102767944
A-B,1,sender,bulk,zero,B,receiver,6,False,True,0,0.8133299350738525,,0.0009410381317138672,1.0077760219573975,2.3259658813476562,0,0,0.21211719512939453,0.06303191184997559,0.05942082405090332,0.01149892807006836,0.3460688591003418,0.11798399686813354,1.0321919918060303,1.1501760482788086
A-B,1,sender,bulk,zero,B,receiver,7,False,True,0,0.6688539981842041,,0.0008149147033691406,0.9911680221557617,2.139307975769043,0,0,0.20933890342712402,0.06242513656616211,0.038771867752075195,0.012873172760009766,0.3234090805053711,0.09647999703884125,0.8841919898986816,0.9806720018386841
A-B,1,sender,bulk,zero,B,receiver,8,False,True,0,0.6661951541900635,,0.0010089874267578125,0.9908480048179626,2.099276065826416,0,0,0.19394612312316895,0.05845975875854492,0.03471803665161133,0.010349035263061523,0.2974729537963867,0.08867199718952179,0.8666560053825378,0.9553279876708984
A-B,1,sender,bulk,zero,B,receiver,9,False,True,0,0.6731929779052734,,0.0008840560913085938,1.0061440467834473,2.1653499603271484,0,0,0.22483301162719727,0.061920881271362305,0.03656506538391113,0.011218070983886719,0.3345370292663574,0.09347199648618698,0.9042559862136841,0.9977279901504517
A-B,1,sender,bulk,zero,B,receiver,10,False,True,0,0.6472480297088623,,0.0008158683776855469,0.987775981426239,2.0800669193267822,0,0,0.1950368881225586,0.05887722969055176,0.036296844482421875,0.010780096054077148,0.3009910583496094,0.08991999924182892,0.8483200073242188,0.9382399916648865
A-B,1,sender,bulk,delay2,A,sender,1,False,True,2,2.9012207984924316,0.9646182060241699,12.304893016815186,0.6572160124778748,16.87308168411255,201433088,15.866273403167725,0.058634281158447266,0.019507884979248047,0.01667499542236328,0.007248878479003906,0.1020660400390625,0.021215999498963356,2.977504014968872,2.9987199306488037
A-B,1,sender,bulk,delay2,A,sender,2,False,True,2,2.8735547065734863,1.1517281532287598,12.099623203277588,0.5427520275115967,16.709210872650146,201433088,15.777288913726807,0.05887651443481445,0.09384679794311523,0.10513496398925781,0.0052928924560546875,0.2631511688232422,0.1234240010380745,2.947455883026123,3.0708799362182617
A-B,1,sender,bulk,delay2,A,sender,3,False,True,2,3.1060891151428223,1.0718169212341309,11.970269203186035,0.6409279704093933,16.83314609527588,201433088,15.800769805908203,0.057428836822509766,0.017783164978027344,0.016425132751464844,0.02374887466430664,0.1153860092163086,0.0315839983522892,3.1819839477539062,3.2135679721832275
A-B,1,sender,bulk,delay2,A,sender,4,False,True,2,3.0206236839294434,1.0394620895385742,12.037800312042236,0.6278719902038574,16.766770839691162,201433088,15.813203811645508,0.057826995849609375,0.01815509796142578,0.01644134521484375,0.023532390594482422,0.11595582962036133,0.03161599859595299,3.096575975418091,3.1281919479370117
A-B,1,sender,bulk,delay2,A,sender,5,False,True,2,3.1379294395446777,1.058405876159668,11.973819732666016,0.659775972366333,16.87449312210083,201433088,15.819187641143799,0.05830812454223633,0.017754077911376953,0.01668548583984375,0.023926258087158203,0.11667394638061523,0.03222399950027466,3.2143681049346924,3.2465920448303223
A-B,1,sender,bulk,delay2,A,sender,6,False,True,2,2.956636905670166,1.0133070945739746,12.014460563659668,0.4474560022354126,16.4648118019104,201433088,15.78563404083252,0.0399169921875,0.012051105499267578,0.0072116851806640625,0.027637958526611328,0.08681774139404297,0.020447999238967896,3.01529598236084,3.0357439517974854
A-B,1,sender,bulk,delay2,A,sender,7,False,True,2,2.8453140258789062,1.0229239463806152,12.129793167114258,0.41283199191093445,16.4440860748291,201433088,15.793241024017334,0.041226863861083984,0.011050701141357422,0.00900411605834961,0.045508384704589844,0.10679006576538086,0.028672000393271446,2.905280113220215,2.9339520931243896
A-B,1,sender,bulk,delay2,A,sender,8,False,True,2,2.8517751693725586,0.9919867515563965,12.133705615997314,0.4078400135040283,16.41622543334961,201433088,15.7798171043396,0.03861713409423828,0.011095046997070312,0.006907939910888672,0.02927112579345703,0.0858912467956543,0.02054399996995926,2.908799886703491,2.9293439388275146
A-B,1,sender,bulk,delay2,A,sender,9,False,True,2,2.7523860931396484,1.0648651123046875,12.140535831451416,0.407584011554718,16.396538734436035,201433088,15.772510051727295,0.03937721252441406,0.01195383071899414,0.10485219955444336,0.004995822906494141,0.1611790657043457,0.007903999648988247,2.8037118911743164,2.8116159439086914
A-B,1,sender,bulk,delay2,A,sender,10,False,True,2,2.787020683288574,1.094846248626709,12.094457149505615,0.4108479917049408,16.418126583099365,201433088,15.782498836517334,0.13939809799194336,0.011791706085205078,0.011319160461425781,0.023654937744140625,0.18616390228271484,0.020864000543951988,2.9443519115448,2.9652159214019775
A-B,1,sender,bulk,delay2,B,receiver,1,False,True,2,2.764853000640869,,0.0008101463317871094,1.0433599948883057,4.291981935501099,0,0,0.21327614784240723,0.06182980537414551,0.03786325454711914,0.01111292839050293,0.3240821361541748,0.09382399916648865,2.984544038772583,3.0783679485321045
A-B,1,sender,bulk,delay2,B,receiver,2,False,True,2,2.965364694595337,,0.0008370876312255859,1.0503040552139282,4.513646841049194,0,0,0.2125401496887207,0.07263803482055664,0.038526058197021484,0.011945962905883789,0.3356502056121826,0.10684800148010254,3.1856958866119385,3.292543888092041
A-B,1,sender,bulk,delay2,B,receiver,3,False,True,2,3.048783302307129,,0.000888824462890625,1.0249600410461426,4.57600212097168,0,0,0.21079516410827637,0.06334280967712402,0.03754019737243652,0.011783838272094727,0.32346200942993164,0.09683199971914291,3.2668159008026123,3.363647937774658
A-B,1,sender,bulk,delay2,B,receiver,4,False,True,2,2.9965713024139404,,0.0007889270782470703,1.1036159992218018,4.5600361824035645,0,0,0.19444918632507324,0.0730600357055664,0.035162925720214844,0.01083993911743164,0.31351208686828613,0.10316800326108932,3.1975998878479004,3.3007678985595703
A-B,1,sender,bulk,delay2,B,receiver,5,False,True,2,3.13912296295166,,0.0008111000061035156,1.007423996925354,4.610827922821045,0,0,0.20881199836730957,0.062391042709350586,0.03479194641113281,0.01105189323425293,0.3170468807220459,0.09228800237178802,3.3543999195098877,3.446687936782837
A-B,1,sender,bulk,delay2,B,receiver,6,False,True,2,2.905071973800659,,0.0010120868682861328,1.023743987083435,4.385483980178833,0,0,0.2012171745300293,0.060693979263305664,0.03499293327331543,0.01120615005493164,0.30811023712158203,0.09062399715185165,3.1130239963531494,3.203648090362549
