direction,q,side,policy,phase,n,activation_p50_ms,activation_p95_ms,sender_finite_work_complete_ms,sender_post_activation_weight_wait_ms,sender_weight_work_ms,sender_subsequent_compute_cuda_ms,sender_local_activation_arrival_ms,sender_activation_event_prepare_ms,sender_activation_copy_call_ms,sender_activation_post_call_submit_ms,sender_activation_completion_wait_ms,sender_activation_cuda_ms,sender_weight_bytes,sender_weight_GBps,receiver_finite_work_complete_ms,receiver_post_activation_weight_wait_ms,receiver_weight_work_ms,receiver_subsequent_compute_cuda_ms,receiver_local_activation_arrival_ms,receiver_activation_event_prepare_ms,receiver_activation_copy_call_ms,receiver_activation_post_call_submit_ms,receiver_activation_completion_wait_ms,receiver_activation_cuda_ms,receiver_weight_bytes,receiver_weight_GBps,activation_ratio_vs_bulk,sender_finite_work_ratio_vs_bulk,sender_weight_bandwidth_ratio_vs_bulk,receiver_finite_work_ratio_vs_bulk,receiver_weight_bandwidth_ratio_vs_bulk
A-B,1,none,bulk,zero,10,0.31661558151245117,0.4889849901199339,0.9062209129333496,0.00017833709716796875,0.0,0.34092800319194794,0.22603750228881836,0.034320831298828125,0.010496139526367188,0.0067822933197021484,0.0022704601287841797,0.016032000072300434,0,,0.7139506340026855,0.00016307830810546875,0.0,0.33820800483226776,0.2870790958404541,0.037136077880859375,0.011064410209655762,0.007088065147399902,0.002074122428894043,0.01703999936580658,0,,1.0,1.0,,1.0,
A-B,1,sender,bulk,zero,10,1.006340742111206,1.10803804397583,16.430296421051025,14.262519836425781,15.784042358398438,0.42553600668907166,0.7262735366821289,0.04009866714477539,0.012125492095947266,0.006865501403808594,0.02838611602783203,0.02051199972629547,201433088,12.76181876797143,2.188359498977661,0.0008388757705688477,0.0,1.0069600343704224,0.7094197273254395,0.20051896572113037,0.060939908027648926,0.03564441204071045,0.011234521865844727,0.09105600044131279,0,,1.0,1.0,1.0,1.0,
A-B,1,sender,bulk,delay2,10,1.048933982849121,1.126131296157837,16.587011337280273,12.097040176391602,15.789437532424927,0.49510401487350464,2.887387752532959,0.05762791633605957,0.014902591705322266,0.016433238983154297,0.023701906204223633,0.0249439999461174,201433088,12.757458856589334,4.338732957839966,0.0008878707885742188,0.0,1.0243520140647888,2.8709824085235596,0.20263564586639404,0.061463356018066406,0.035093069076538086,0.01108241081237793,0.09228800237178802,0,,1.0,1.0,1.0,1.0,
A-B,1,sender,bulk,jitter,10,1.0224144458770752,1.119744563102722,16.439648151397705,9.853296518325806,15.779903173446655,0.42798399925231934,5.085323095321655,0.040570974349975586,0.012283086776733398,0.007226228713989258,0.02733778953552246,0.020447999238967896,201433088,12.765166386169149,6.646071076393127,0.0008144378662109375,0.0,1.0332159996032715,5.032750606536865,0.19907450675964355,0.06180548667907715,0.036696672439575195,0.01078951358795166,0.09399999678134918,0,,1.0,1.0,1.0,1.0,
A-B,1,sender,chunk,zero,10,0.9076511859893799,0.9473288059234619,17.80615496635437,15.563417911529541,16.79769539833069,0.48443199694156647,0.7112505435943604,0.03733015060424805,0.011914730072021484,0.006790637969970703,0.028620481491088867,0.020576000213623047,201433088,11.991709922666491,2.0601775646209717,0.0008069276809692383,0.0,1.013535976409912,0.5902743339538574,0.20025992393493652,0.059884071350097656,0.03559255599975586,0.011101126670837402,0.09056000038981438,0,,0.9019322660883381,1.083739118884097,0.9396552435584107,0.9414255590013558,
A-B,1,sender,chunk,delay2,10,1.0105998516082764,1.0548443078994751,17.609169960021973,13.149356126785278,16.71837615966797,0.52326400578022,2.831514358520508,0.04069256782531738,0.011945486068725586,0.007314205169677734,0.02779531478881836,0.020735999569296837,201433088,12.048603890161662,4.24890398979187,0.000813603401184082,0.0,1.0037599802017212,2.780159115791321,0.204198956489563,0.059058547019958496,0.03560197353363037,0.011361479759216309,0.09065600112080574,0,,0.9634542002951212,1.06162403834887,0.9444360374275051,0.9792960366722323,
A-B,1,sender,chunk,jitter,10,1.0486228466033936,1.096384835243225,17.82870602607727,10.339580059051514,16.749844789505005,0.6626879870891571,5.76948094367981,0.05800271034240723,0.01790904998779297,0.01635909080505371,0.023571014404296875,0.031055999919772148,201433088,12.025977301021125,7.341955900192261,0.0008139610290527344,0.0,1.0980640053749084,5.780141592025757,0.19570600986480713,0.05932652950286865,0.03509795665740967,0.011381983757019043,0.08960000053048134,0,,1.0256338325734782,1.0844943797998174,0.9420932667239713,1.1047061964580727,
A-B,1,sender,window2,zero,10,0.8909823894500732,1.0969831705093382,16.843361854553223,14.786619186401367,16.19850754737854,0.40539200603961945,0.7303750514984131,0.03723740577697754,0.011863470077514648,0.0069005489349365234,0.028431415557861328,0.020560000091791153,201433088,12.435287626804632,2.060891032218933,0.0008164644241333008,0.0,0.9957759976387024,0.5971388816833496,0.19502079486846924,0.058283448219299316,0.03491544723510742,0.011333942413330078,0.08851199969649315,0,,0.8853684961426463,1.0251404736053917,0.9744134321993116,0.941751587516458,
A-B,1,sender,window2,delay2,10,1.0939748287200928,1.1666151285171509,16.85485553741455,12.47590684890747,16.211096048355103,0.39923200011253357,2.8585004806518555,0.041235923767089844,0.016858339309692383,0.014718770980834961,0.023438692092895508,0.04031999967992306,201433088,12.425630493187441,4.364289879798889,0.0008124113082885742,0.0,1.0208799839019775,2.889333486557007,0.19649410247802734,0.06077158451080322,0.03463625907897949,0.010755538940429688,0.09060799703001976,0,,1.0429396383446663,1.0161478276398281,0.9739894623896435,1.00589041137292,
A-B,1,sender,window2,jitter,10,1.01408052444458,1.0951347589492797,16.87414240837097,10.230956792831421,16.222770929336548,0.4179840087890625,5.167088031768799,0.04039406776428223,0.01219320297241211,0.007220029830932617,0.027338266372680664,0.020655999891459942,201433088,12.416688228456076,6.603227376937866,0.0007519721984863281,0.0,1.0024160146713257,5.128427863121033,0.19758737087249756,0.05887198448181152,0.03393995761871338,0.010751843452453613,0.08897600322961807,0,,0.9918487835670731,1.0264296567038345,0.9727008526821364,0.9935535297527223,
