run,direction,case,model,batch,q,hidden,mode,bytes,dtype,sample,phase,e2e_ack_ms,d2h_cuda_ms,d2h_host_ms,h2d_cuda_ms,h2d_host_ms,network_host_ack_residual_ms,receiver_receive_host_ms,correct,sender_origin,receiver_origin,sender_completion_relative_ms,receiver_staging_start_relative_ms,receiver_completion_relative_ms
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,17,steady,0.15508413314819336,0.0,0.0,0.0,0.0,0.15508413314819336,0.08144211769104004,True,local before background launch and D2H,local after ready ACK,0.15508413314819336,0.12807106971740723,0.12910127639770508
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,18,steady,0.13876104354858398,0.0,0.0,0.0,0.0,0.13876104354858398,0.09137511253356934,True,local before background launch and D2H,local after ready ACK,0.13876104354858398,0.12944793701171875,0.13043212890625
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,19,steady,0.1382126808166504,0.0,0.0,0.0,0.0,0.1382126808166504,0.0934450626373291,True,local before background launch and D2H,local after ready ACK,0.1382126808166504,0.132155179977417,0.1331312656402588
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,20,steady,0.18771123886108398,0.0,0.0,0.0,0.0,0.18771123886108398,0.07851099967956543,True,local before background launch and D2H,local after ready ACK,0.18771123886108398,0.13133001327514648,0.13229584693908691
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,21,steady,0.15961694717407227,0.0,0.0,0.0,0.0,0.15961694717407227,0.09838700294494629,True,local before background launch and D2H,local after ready ACK,0.15961694717407227,0.1366419792175293,0.13758492469787598
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,22,steady,0.14380502700805664,0.0,0.0,0.0,0.0,0.14380502700805664,0.0898888111114502,True,local before background launch and D2H,local after ready ACK,0.14380502700805664,0.134321928024292,0.1353437900543213
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,23,steady,0.15247821807861328,0.0,0.0,0.0,0.0,0.15247821807861328,0.09555602073669434,True,local before background launch and D2H,local after ready ACK,0.15247821807861328,0.1340179443359375,0.13489198684692383
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,0,first_transfer,0.3044247627258301,0.01926399953663349,0.05361604690551758,0.012223999947309494,0.04409480094909668,0.20671391487121582,0.3255760669708252,True,local before background launch and D2H,local after ready ACK,0.3044247627258301,0.348466157913208,0.3982532024383545
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,1,warmup,0.21353578567504883,0.015456000342965126,0.03900766372680664,0.010528000071644783,0.029712915420532227,0.14481520652770996,0.24697303771972656,True,local before background launch and D2H,local after ready ACK,0.21353578567504883,0.25878477096557617,0.29209375381469727
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,2,warmup,0.2014174461364746,0.015104000456631184,0.037100791931152344,0.007679999805986881,0.024272918701171875,0.1400437355041504,0.21272683143615723,True,local before background launch and D2H,local after ready ACK,0.2014174461364746,0.2218620777130127,0.24946117401123047
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,3,warmup,0.1634359359741211,0.00863999966531992,0.02551412582397461,0.007455999962985516,0.023864030838012695,0.11405777931213379,0.12246108055114746,True,local before background launch and D2H,local after ready ACK,0.1634359359741211,0.13107895851135254,0.15820002555847168
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,4,steady,0.1587529182434082,0.007840000092983246,0.023899555206298828,0.00723200011998415,0.02390599250793457,0.1109473705291748,0.12023282051086426,True,local before background launch and D2H,local after ready ACK,0.1587529182434082,0.1281118392944336,0.15509366989135742
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,5,steady,0.1553363800048828,0.006912000011652708,0.022331714630126953,0.006976000033318996,0.023380279541015625,0.10962438583374023,0.11850214004516602,True,local before background launch and D2H,local after ready ACK,0.1553363800048828,0.12646079063415527,0.15294098854064941
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,6,steady,0.1547846794128418,0.007007999811321497,0.02237081527709961,0.007135999854654074,0.022899150848388672,0.10951471328735352,0.11811113357543945,True,local before background launch and D2H,local after ready ACK,0.1547846794128418,0.12615203857421875,0.1520531177520752
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,7,steady,0.1539459228515625,0.006816000211983919,0.021320819854736328,0.00723200011998415,0.023411273956298828,0.10921382904052734,0.12121701240539551,True,local before background launch and D2H,local after ready ACK,0.1539459228515625,0.1291959285736084,0.15566778182983398
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,8,steady,0.1538071632385254,0.006207999773323536,0.02136993408203125,0.007199999876320362,0.023225069046020508,0.10921216011047363,0.11720776557922363,True,local before background launch and D2H,local after ready ACK,0.1538071632385254,0.12503385543823242,0.15134191513061523
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,9,steady,0.15685367584228516,0.006688000168651342,0.021452903747558594,0.006943999789655209,0.023192882537841797,0.11220788955688477,0.12054109573364258,True,local before background launch and D2H,local after ready ACK,0.15685367584228516,0.1285250186920166,0.15491795539855957
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,10,steady,0.1537027359008789,0.00684799998998642,0.022243499755859375,0.006912000011652708,0.022450923919677734,0.1090083122253418,0.12173295021057129,True,local before background launch and D2H,local after ready ACK,0.1537027359008789,0.12923622131347656,0.15477824211120605
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,11,steady,0.15326404571533203,0.00687999976798892,0.021904945373535156,0.007391999941319227,0.02324533462524414,0.10811376571655273,0.11715102195739746,True,local before background launch and D2H,local after ready ACK,0.15326404571533203,0.1248478889465332,0.15121912956237793
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,12,steady,0.15761995315551758,0.006271999794989824,0.026488780975341797,0.007296000141650438,0.02279210090637207,0.10833907127380371,0.12208700180053711,True,local before background launch and D2H,local after ready ACK,0.15761995315551758,0.1296401023864746,0.15550518035888672
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,13,steady,0.15333986282348633,0.006527999881654978,0.021293163299560547,0.006752000190317631,0.022459030151367188,0.1095876693725586,0.11862683296203613,True,local before background launch and D2H,local after ready ACK,0.15333986282348633,0.1257472038269043,0.1512160301208496
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,14,steady,0.15209627151489258,0.006688000168651342,0.021242141723632812,0.007135999854654074,0.022523880004882812,0.10833024978637695,0.12100100517272949,True,local before background launch and D2H,local after ready ACK,0.15209627151489258,0.12855792045593262,0.15405678749084473
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,15,steady,0.15371274948120117,0.006624000146985054,0.021793365478515625,0.007391999941319227,0.023534774780273438,0.10838460922241211,0.12184405326843262,True,local before background launch and D2H,local after ready ACK,0.15371274948120117,0.12965106964111328,0.15620994567871094
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,16,steady,0.1529374122619629,0.00598399993032217,0.02081298828125,0.006943999789655209,0.022878170013427734,0.10924625396728516,0.12030196189880371,True,local before background launch and D2H,local after ready ACK,0.1529374122619629,0.12823104858398438,0.15427207946777344
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,17,steady,0.15306901931762695,0.006463999859988689,0.021024703979492188,0.00723200011998415,0.023296833038330078,0.10874748229980469,0.1157979965209961,True,local before background launch and D2H,local after ready ACK,0.15306901931762695,0.12366318702697754,0.15006709098815918
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,18,steady,0.15741872787475586,0.006688000168651342,0.025577068328857422,0.00687999976798892,0.022480010986328125,0.10936164855957031,0.12316083908081055,True,local before background launch and D2H,local after ready ACK,0.15741872787475586,0.13039898872375488,0.15595102310180664
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,19,steady,0.15220022201538086,0.006719999946653843,0.021148204803466797,0.007199999876320362,0.022452116012573242,0.10859990119934082,0.12045407295227051,True,local before background launch and D2H,local after ready ACK,0.15220022201538086,0.1281578540802002,0.1535649299621582
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,20,steady,0.15248823165893555,0.006144000217318535,0.020837783813476562,0.007071999832987785,0.022822141647338867,0.10882830619812012,0.11986994743347168,True,local before background launch and D2H,local after ready ACK,0.15248823165893555,0.12746596336364746,0.1532759666442871
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,21,steady,0.1525568962097168,0.006752000190317631,0.021173477172851562,0.006783999968320131,0.022630929946899414,0.10875248908996582,0.12006616592407227,True,local before background launch and D2H,local after ready ACK,0.1525568962097168,0.12746381759643555,0.15327000617980957
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,22,steady,0.1528639793395996,0.006752000190317631,0.021652698516845703,0.0071680000983178616,0.02272486686706543,0.10848641395568848,0.11725187301635742,True,local before background launch and D2H,local after ready ACK,0.1528639793395996,0.12491893768310547,0.1507110595703125
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,23,steady,0.15247726440429688,0.006527999881654978,0.02110767364501953,0.0072639998979866505,0.023411989212036133,0.10795760154724121,0.1163032054901123,True,local before background launch and D2H,local after ready ACK,0.15247726440429688,0.12407875061035156,0.1505749225616455
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,0,first_transfer,0.8361415863037109,0.08787199854850769,0.13855600357055664,0.21052800118923187,0.2886788845062256,0.4089066982269287,0.4882049560546875,True,local before background launch and D2H,local after ready ACK,0.8361415863037109,0.5423228740692139,0.841174840927124
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,1,warmup,0.7841668128967285,0.015263999812304974,0.08205938339233398,0.0013760000001639128,0.377824068069458,0.3242833614349365,0.40807509422302246,True,local before background launch and D2H,local after ready ACK,0.7841668128967285,0.45708322525024414,0.850222110748291
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,2,warmup,0.7967681884765625,0.015456000342965126,0.04092693328857422,0.001408000010997057,0.4253368377685547,0.3305044174194336,0.3732903003692627,True,local before background launch and D2H,local after ready ACK,0.7967681884765625,0.42086267471313477,0.8608739376068115
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,3,warmup,0.8188128471374512,0.015039999969303608,0.08123970031738281,0.0014720000326633453,0.38855504989624023,0.3490180969238281,0.45390892028808594,True,local before background launch and D2H,local after ready ACK,0.8188128471374512,0.48483705520629883,0.8832340240478516
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,4,steady,0.7702298164367676,0.008767999708652496,0.02797412872314453,0.001408000010997057,0.43060302734375,0.31165266036987305,0.31265687942504883,True,local before background launch and D2H,local after ready ACK,0.7702298164367676,0.34525108337402344,0.7853262424468994
