run,direction,case,model,batch,q,hidden,mode,bytes,n,correct,sender_setup_ms,receiver_setup_ms,first_transfer_e2e_ms,sender_background_alone_cuda_p50_ms,receiver_background_alone_cuda_p50_ms,e2e_ack_ms_p50,e2e_ack_ms_p95,d2h_cuda_ms_p50,d2h_cuda_ms_p95,d2h_host_ms_p50,d2h_host_ms_p95,h2d_cuda_ms_p50,h2d_cuda_ms_p95,h2d_host_ms_p50,h2d_host_ms_p95,network_host_ack_residual_ms_p50,network_host_ack_residual_ms_p95,sender_background_jobs,receiver_background_jobs,sender_background_slowdown,receiver_background_slowdown,samples_with_d2h_gpu_overlap,samples_with_h2d_gpu_overlap,e2e_slowdown_vs_gpu,d2h_slowdown_vs_gpu,h2d_slowdown_vs_gpu
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,20,True,1.639862060546875,6.488894939422607,0.31360721588134766,,,0.154649019241333,0.21738317012786873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154649019241333,0.21738317012786873,0,0,,,0,0,,,
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,20,True,0.23102951049804688,0.23985910415649414,0.3044247627258301,,,0.15352129936218262,0.1576766014099121,0.006688000168651342,0.007049599825404585,0.021411418914794922,0.02562265396118164,0.007151999976485968,0.007391999941319227,0.022888660430908203,0.023553335666656496,0.10891830921173096,0.1110103964805603,0,0,,,0,0,1.0,1.0,1.0
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,20,True,154.72479724884033,146.8647961616516,0.8361415863037109,1.1198559999465942,0.601311981678009,0.7806816101074219,0.8583807706832886,0.009215999860316515,0.01521440022625029,0.02942800521850586,0.13446412086486817,0.0013760000001639128,0.0015376000490505248,0.4685249328613281,0.5680795311927795,0.26824915409088135,0.3589643120765686,20,40,1.0088725470732325,1.0151402495217003,0,0,5.08516807342584,1.3779903749875282,0.19239373667335924
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,3,opt-125m,1,1,768,gpu_compute,1536,20,True,16.187407970428467,16.10138726234436,0.42643117904663086,0.11960000172257423,0.12150400131940842,0.3286764621734619,0.5037267446517945,0.03590399958193302,0.03737600091844797,0.05649876594543457,0.10729670524597171,0.025776000693440437,0.049815999716520315,0.10502970218658447,0.1195232391357422,0.16963982582092285,0.2623486518859864,44,41,1.1388628414476913,1.3579141661287402,20,20,2.1409176677045885,5.368420854746058,3.6040269544443015
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,4,opt-125m,1,32,768,cpu,49152,20,True,0.36667585372924805,0.3122410774230957,0.8699798583984375,,,0.2692420482635498,0.29358279705047613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692420482635498,0.29358279705047613,0,0,,,0,0,,,
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,5,opt-125m,1,32,768,gpu,49152,20,True,0.343595027923584,0.33809328079223633,0.5854339599609375,,,0.3296222686767578,0.33719027042388916,0.006704000057652593,0.007847999851219357,0.02178668975830078,0.023120546340942388,0.006912000011652708,0.008707199851050975,0.023081660270690918,0.027400803565979005,0.2842140197753906,0.29104056358337405,0,0,,,0,0,1.0,1.0,1.0
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,6,opt-125m,1,32,768,gpu_h2d,49152,20,True,26.8344669342041,14.853826999664307,0.8748846054077148,1.119327962398529,0.6015200018882751,0.7378075122833252,0.754756236076355,0.008191999979317188,0.015428800089284777,0.026944875717163086,0.12463517189025879,0.0033599999733269215,0.0033919999841600657,0.4023505449295044,0.4168431758880615,0.30729997158050537,0.4069226264953614,20,21,1.0097344366032068,1.01673095794014,0,0,2.2383424373759526,1.2219570269791464,0.48611110643264044
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,7,opt-125m,1,32,768,gpu_compute,49152,20,True,11.912847995758057,11.765019178390503,0.8498921394348145,0.12908799946308136,0.13196799904108047,0.42018818855285645,0.4646695852279665,0.0350399985909462,0.038691199757158755,0.054393768310546875,0.05784151554107666,0.013311999849975109,0.05644640009850276,0.03625297546386719,0.09565564393997206,0.3067399263381958,0.33986243009567263,61,51,1.0984134848306275,1.1762851486624235,19,20,1.2747566790304194,5.226730055133004,1.9259259009740823
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,8,opt-125m,1,128,768,cpu,196608,20,True,0.49313879013061523,0.5850422382354736,0.8916788101196289,,,0.7710773944854736,0.8683714389801025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7710773944854736,0.8683714389801025,0,0,,,0,0,,,
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,9,opt-125m,1,128,768,gpu,196608,20,True,0.4894828796386719,0.5862698554992676,0.9862957000732422,,,0.8542635440826416,0.8910467863082886,0.017455999739468098,0.01991040064021945,0.034067392349243164,0.0456387996673584,0.009839999955147505,0.011297600297257303,0.027505993843078613,0.029228794574737548,0.7934561967849731,0.8179476380348205,0,0,,,0,0,1.0,1.0,1.0
