step,slot,copy_start_ms,copy_end_ms,compute_start_ms,compute_end_ms,buffer_reuse_wait_ms,data_ready_wait_ms
0,0,0.02236800082027912,1.1431360244750977,1.1689280271530151,1.33241605758667,0.0033919999841600657,1.0456000566482544
1,1,1.144544005393982,2.263551950454712,2.292543888092041,2.455296039581299,0.0004799999878741801,0.9422720074653625
2,0,2.264928102493286,3.382751941680908,3.405344009399414,3.569888114929199,0.0004799999878741801,0.93641597032547
3,1,3.384160041809082,4.502431869506836,4.511616230010986,4.655968189239502,0.00044800000614486635,0.9357759952545166
