copy_ms,compute_ms,cuda_ms,wall_ms,copy_start_ms,compute_start_ms,kind,group,q,past,batch,semantic,mode,sample
1.121216058731079,0.08383999764919281,1.2288320064544678,1.2390329502522945,0.014527999795973301,1.142367959022522,measured,1,16,0,1,short_prefill_proxy,serial,0
1.1195520162582397,0.08383999764919281,1.2233599424362183,1.233354676514864,0.012512000277638435,1.1368639469146729,measured,1,16,0,1,short_prefill_proxy,serial,1
1.118880033493042,0.08364800363779068,1.2223680019378662,1.2320461682975292,0.011680000461637974,1.136064052581787,measured,1,16,0,1,short_prefill_proxy,serial,2
1.1173440217971802,0.08179199695587158,1.2186239957809448,1.22786033898592,0.011776000261306763,1.1342079639434814,measured,1,16,0,1,short_prefill_proxy,serial,3
1.1171200275421143,0.0838719978928566,1.2214080095291138,1.230606809258461,0.011552000418305397,1.1349120140075684,measured,1,16,0,1,short_prefill_proxy,serial,4
1.1176320314407349,0.08588799834251404,1.2228480577468872,1.2320647947490215,0.011615999974310398,1.134335994720459,measured,1,16,0,1,short_prefill_proxy,serial,5
1.1176960468292236,0.08380799740552902,1.221727967262268,1.2313658371567726,0.011296000331640244,1.1352959871292114,measured,1,16,0,1,short_prefill_proxy,serial,6
1.1195839643478394,0.08588799834251404,1.225119948387146,1.2344769202172756,0.011680000461637974,1.1366080045700073,measured,1,16,0,1,short_prefill_proxy,serial,7
1.116096019744873,0.07971200346946716,1.214400053024292,1.2236307375133038,0.010944000445306301,1.1320639848709106,measured,1,16,0,1,short_prefill_proxy,serial,8
1.1173759698867798,0.08367999643087387,1.2208640575408936,1.2305560521781445,0.011392000131309032,1.134559988975525,measured,1,16,0,1,short_prefill_proxy,serial,9
1.1180479526519775,0.08777599781751633,1.2245759963989258,1.233631744980812,0.010944000445306301,1.1341439485549927,measured,1,16,0,1,short_prefill_proxy,serial,10
1.117535948753357,0.08399999886751175,1.220639944076538,1.2297960929572582,0.011327999643981457,1.1340160369873047,measured,1,16,0,1,short_prefill_proxy,serial,11
